Objects
30
,,Global Angle drone_3:drone_3,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,potX,potY,potZ
,,rad,rad,rad,mm,mm,mm
85,0,0.0575077,0.0355731,0.0905829,13.0704,-0.0265289,-5.17028
86,0,0.0576708,0.0359769,0.0902773,13.1306,-0.10378,-5.22003
87,0,0.057659,0.0359563,0.0903877,13.1959,-0.169979,-5.25613
88,0,0.0577616,0.0359038,0.0902607,13.1283,-0.0898769,-5.22679
89,0,0.0573772,0.0339932,0.0905637,13.1318,-0.113348,-5.24115
90,0,0.0576893,0.0355695,0.0905861,13.0978,-0.0723158,-5.23656
91,0,0.0575808,0.0361086,0.0905159,13.1387,-0.120835,-5.24287
92,0,0.057633,0.0366561,0.0900833,13.2012,-0.184647,-5.30206
93,0,0.0575782,0.0354582,0.0904265,13.1194,-0.0817777,-5.21251
94,0,0.0578509,0.0362243,0.0904899,13.1274,-0.103052,-5.20626
95,0,0.0575759,0.0362228,0.0899553,13.1565,-0.167538,-5.26751
96,0,0.0580403,0.0368749,0.0902705,13.175,-0.175049,-5.20985
97,0,0.0575979,0.0356166,0.0905609,13.1561,-0.155563,-5.22022
98,0,0.0575951,0.0362356,0.090601,13.1265,-0.118544,-5.21433
99,0,0.0576691,0.0354266,0.090453,13.1704,-0.133676,-5.26686
100,0,0.0576549,0.0360883,0.09039,13.1043,-0.092734,-5.22465
101,0,0.0579244,0.0364722,0.0902014,13.1222,-0.102371,-5.20973
102,0,0.0577292,0.0363752,0.0901893,13.1987,-0.187469,-5.2655
103,0,0.0576665,0.0360766,0.0902046,13.2104,-0.20494,-5.28222
104,0,0.0580104,0.036722,0.0902179,13.1031,-0.0942864,-5.21513
105,0,0.0575268,0.0359116,0.0901771,13.0217,0.0323389,-5.13851
106,0,0.0574416,0.0366439,0.0901858,13.1708,-0.155339,-5.23568
107,0,0.0578186,0.0358173,0.0907228,13.1281,-0.133324,-5.24977
108,0,0.0577149,0.0361378,0.0906768,13.1191,-0.100347,-5.21019
109,0,0.057551,0.0356155,0.0905138,13.0799,-0.0268586,-5.18179
110,0,0.057466,0.0361985,0.0903416,13.1868,-0.16496,-5.2758
111,0,0.0576933,0.0370379,0.0903155,13.186,-0.149896,-5.25426
112,0,0.057615,0.0360144,0.0903551,13.072,-0.0443779,-5.23964
113,0,0.0573997,0.0350963,0.090517,13.0665,-0.0325971,-5.16269
114,0,0.0577434,0.0353599,0.090508,13.0507,0.00389488,-5.14329
115,0,0.0576992,0.0360025,0.0903596,13.2506,-0.235127,-5.34557
116,0,0.057721,0.0355162,0.0903185,13.1324,-0.0863886,-5.22594
117,0,0.0573889,0.0352915,0.0907108,13.2306,-0.22337,-5.30358
118,0,0.0577401,0.0350733,0.0904091,13.2863,-0.282472,-5.32811
119,0,0.0576991,0.0363585,0.0905004,13.0884,-0.0328513,-5.19513
120,0,0.0574955,0.0363402,0.0902764,13.1697,-0.156457,-5.26314
121,0,0.0577421,0.035941,0.0902391,13.1608,-0.161079,-5.28007
122,0,0.0578769,0.0366156,0.0902535,13.1474,-0.127209,-5.20974
123,0,0.0574996,0.0360287,0.0904231,13.0796,-0.0510906,-5.19384
124,0,0.0571138,0.0352118,0.0903974,13.2722,-0.256179,-5.31692
125,0,0.0575947,0.0358315,0.0906358,13.1355,-0.107088,-5.21304
126,0,0.0577787,0.0355828,0.0903196,13.1103,-0.0913048,-5.19959
127,0,0.0575377,0.0347265,0.0910367,13.1711,-0.154191,-5.24713
128,0,0.0576937,0.0354497,0.0905555,13.0777,-0.049059,-5.19747
129,0,0.0574365,0.0357041,0.0904064,13.1725,-0.165489,-5.25122
130,0,0.0577238,0.0354832,0.0903112,13.1431,-0.0955711,-5.24576
131,0,0.0579915,0.0363285,0.090127,13.0879,-0.0458805,-5.20607
132,0,0.057758,0.0364807,0.0901656,13.2624,-0.283401,-5.32556
133,0,0.057011,0.0346377,0.0902033,13.2114,-0.192054,-5.27297
134,0,0.057664,0.036351,0.0903416,13.2603,-0.28062,-5.3403
135,0,0.0574994,0.0356147,0.0902934,13.0656,-0.0374532,-5.1736
136,0,0.0579131,0.0364125,0.0905404,13.1328,-0.11526,-5.2245
137,0,0.0574097,0.0357755,0.0905552,13.1317,-0.0910401,-5.23151
138,0,0.0576351,0.0358851,0.0902226,13.1039,-0.0462181,-5.22273
139,0,0.0571919,0.0354274,0.090374,13.1667,-0.158295,-5.24352
140,0,0.0577977,0.0365167,0.090192,13.079,-0.0234774,-5.18815
141,0,0.0576699,0.0357542,0.0903629,13.1706,-0.145513,-5.25423
142,0,0.0580408,0.0365944,0.0905469,13.2116,-0.209415,-5.29757
143,0,0.0574831,0.0356379,0.0904787,13.0822,-0.0366768,-5.20501
144,0,0.0576657,0.0360596,0.0905284,13.1996,-0.190946,-5.30596
145,0,0.0576461,0.0363095,0.0904296,13.0955,-0.0695185,-5.20342
146,0,0.0573286,0.0359079,0.0902839,13.0917,-0.0461613,-5.20326
147,0,0.0578509,0.0355439,0.0906497,13.1832,-0.186322,-5.24905
148,0,0.0577378,0.0363578,0.0900206,13.1981,-0.186863,-5.29387
149,0,0.0576755,0.036502,0.0903798,13.2185,-0.200813,-5.29536
150,0,0.0571804,0.0358186,0.0904145,13.193,-0.184217,-5.27135
151,0,0.0572397,0.0360744,0.0902764,13.0967,-0.0779759,-5.18803
152,0,0.0579946,0.0365455,0.0904623,13.1444,-0.105199,-5.22785
153,0,0.0570883,0.0345273,0.0911226,12.9936,0.0620838,-5.11443
154,0,0.0578252,0.0352393,0.090362,13.114,-0.109351,-5.24
155,0,0.0574028,0.0360469,0.0901384,13.2102,-0.184988,-5.26746
156,0,0.0581052,0.0367307,0.0905171,13.1591,-0.161182,-5.23568
157,0,0.05749,0.0355895,0.0905122,13.0988,-0.0692892,-5.22615
