Objects
30
,,Global Angle drone_3:drone_3,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,potX,potY,potZ
,,rad,rad,rad,mm,mm,mm
1,0,3.16572,-0.473977,0.185132,-935.013,1476.33,-73.7976,64,0,64
2,0,3.16549,-0.47335,0.185251,-935.028,1476.31,-73.7976,64,0,64
3,0,3.16571,-0.473457,0.184843,-935.035,1476.31,-73.7973,64,0,64
4,0,3.16574,-0.473627,0.184631,-935.014,1476.33,-73.7783,64,0,64
5,0,3.16533,-0.473798,0.184766,-935.039,1476.3,-73.7821,64,0,64
6,0,3.16561,-0.473562,0.184324,-935.034,1476.31,-73.7943,64,0,64
7,0,3.16549,-0.473507,0.184997,-935.027,1476.3,-73.8046,64,0,64
8,0,3.16571,-0.473732,0.184153,-935.041,1476.29,-73.8137,64,0,64
9,0,3.16556,-0.473537,0.185087,-935.014,1476.33,-73.8134,64,0,64
10,0,3.16577,-0.473763,0.184667,-935.023,1476.31,-73.7927,64,0,64
11,0,3.16543,-0.473823,0.185425,-935.026,1476.31,-73.791,64,0,64
12,0,3.16563,-0.473376,0.185159,-935.027,1476.32,-73.8177,64,0,64
13,0,3.16533,-0.473281,0.184911,-935.042,1476.31,-73.8107,64,0,64
14,0,3.16563,-0.473651,0.185598,-935.029,1476.34,-73.7983,64,0,64
15,0,3.16559,-0.473692,0.184478,-935.017,1476.31,-73.7957,64,0,64
16,0,3.16568,-0.473555,0.184837,-935.028,1476.31,-73.8047,64,0,64
17,0,3.1658,-0.473502,0.18434,-935.029,1476.31,-73.8224,64,0,64
18,0,3.16568,-0.473772,0.184016,-935.019,1476.31,-73.7984,64,0,64
19,0,-0.418183,-3.03991,0.23784,-921.453,1483.76,-66.8634,64,0,64
20,0,-0.418413,-3.04056,0.237769,-921.457,1483.75,-66.9073,64,0,64
21,0,-0.41861,-3.04079,0.23791,-921.468,1483.76,-66.8881,64,0,64
22,0,-0.418464,-3.03982,0.238591,-921.434,1483.78,-66.8896,64,0,64
23,0,-0.419109,-3.04076,0.237065,-921.442,1483.82,-66.8831,64,0,64
24,0,-0.418961,-3.04047,0.238117,-921.459,1483.76,-66.9088,64,0,64
25,0,-0.419062,-3.04035,0.237927,-921.448,1483.77,-66.91,64,0,64
26,0,-0.419012,-3.04086,0.238527,-921.397,1483.75,-66.9251,64,0,64
27,0,-0.419982,-3.04209,0.239437,-921.385,1483.73,-66.9645,64,0,64
28,0,-0.421357,-3.0416,0.240119,-921.35,1483.73,-66.9546,64,0,64
29,0,-0.422164,-3.04238,0.240914,-921.304,1483.72,-66.9965,64,0,64
30,0,-0.423464,-3.04209,0.241711,-921.284,1483.71,-67.0426,64,0,64
31,0,-0.425,-3.04242,0.241651,-921.233,1483.73,-67.0583,64,0,64
32,0,-0.425273,-3.0419,0.24275,-921.204,1483.7,-67.0691,64,0,64
33,0,-0.426314,-3.04241,0.243164,-921.175,1483.72,-67.074,64,0,64
34,0,-0.426957,-3.04282,0.243053,-921.17,1483.73,-67.1083,64,0,64
35,0,-0.427608,-3.04297,0.243559,-921.157,1483.73,-67.1205,64,0,64
36,0,-0.427701,-3.04312,0.243704,-921.139,1483.74,-67.1221,64,0,64
37,0,-0.427766,-3.04379,0.243895,-921.119,1483.73,-67.1351,64,0,64
38,0,-0.428349,-3.04308,0.243753,-921.137,1483.71,-67.1439,64,0,64
39,0,-0.428742,-3.04307,0.243704,-921.089,1483.74,-67.1598,64,0,64
40,0,-0.428348,-3.04309,0.244375,-921.105,1483.72,-67.131,64,0,64
41,0,-0.42813,-3.04405,0.244736,-921.114,1483.69,-67.155,64,0,64
42,0,-0.428066,-3.04354,0.244605,-921.111,1483.69,-67.1386,64,0,64
43,0,-0.428271,-3.04363,0.243882,-921.1,1483.73,-67.1532,64,0,64
44,0,-0.427293,-3.04341,0.245013,-921.11,1483.67,-67.1382,64,0,64
45,0,-0.428125,-3.04335,0.244558,-921.083,1483.69,-67.1289,64,0,64
46,0,-0.428764,-3.04427,0.244434,-921.112,1483.72,-67.1528,64,0,64
47,0,-0.429017,-3.04373,0.243878,-921.106,1483.72,-67.1646,64,0,64
48,0,-0.427837,-3.04231,0.244005,-921.123,1483.7,-67.1145,64,0,64
49,0,-0.428772,-3.04453,0.244355,-921.123,1483.7,-67.1664,64,0,64
50,0,-0.428614,-3.04336,0.243893,-921.121,1483.72,-67.1422,64,0,64
51,0,-0.428596,-3.04394,0.244028,-921.114,1483.73,-67.1629,64,0,64
52,0,-0.427834,-3.0431,0.244316,-921.131,1483.69,-67.1191,64,0,64
53,0,-0.42855,-3.04389,0.244057,-921.111,1483.72,-67.1516,64,0,64
54,0,-0.428783,-3.04422,0.244085,-921.129,1483.69,-67.1651,64,0,64
55,0,-0.428139,-3.04308,0.243689,-921.105,1483.74,-67.1356,64,0,64
56,0,-0.428977,-3.04319,0.243849,-921.093,1483.75,-67.1411,64,0,64
57,0,-0.42782,-3.04496,0.244707,-921.116,1483.69,-67.1564,64,0,64
58,0,-0.428659,-3.04417,0.2437,-921.125,1483.7,-67.1621,64,0,64
59,0,-0.42874,-3.04368,0.243913,-921.122,1483.71,-67.1729,64,0,64
60,0,-0.428482,-3.04352,0.244595,-921.132,1483.71,-67.1621,64,0,64
61,0,-0.428484,-3.04365,0.243733,-921.111,1483.73,-67.1495,64,0,64
62,0,-0.428411,-3.04351,0.243761,-921.087,1483.73,-67.1289,64,0,64
63,0,-0.428877,-3.04289,0.244222,-921.133,1483.72,-67.1694,64,0,64
64,0,-0.428496,-3.044,0.244664,-921.109,1483.69,-67.1608,64,0,64
65,0,-0.428237,-3.04352,0.244219,-921.127,1483.68,-67.1579,64,0,64
66,0,-0.4291,-3.04341,0.244092,-921.098,1483.71,-67.1647,64,0,64
67,0,-0.428924,-3.04304,0.244023,-921.103,1483.76,-67.142,64,0,64
68,0,-0.428163,-3.04468,0.244441,-921.13,1483.68,-67.1305,64,0,64
69,0,-0.428373,-3.0436,0.244328,-921.101,1483.7,-67.1226,64,0,64
70,0,-0.428867,-3.04348,0.244077,-921.099,1483.74,-67.1538,64,0,64
71,0,-0.428639,-3.04427,0.244736,-921.125,1483.68,-67.1562,64,0,64
72,0,-0.428608,-3.04434,0.244294,-921.117,1483.72,-67.1684,64,0,64
73,0,-0.428679,-3.0443,0.244537,-921.121,1483.68,-67.1668,64,0,64
74,0,-0.429219,-3.04368,0.243994,-921.097,1483.73,-67.1446,64,0,64
75,0,-0.428678,-3.04419,0.2438,-921.098,1483.72,-67.1523,64,0,64
76,0,-0.428727,-3.04359,0.243979,-921.116,1483.72,-67.1456,64,0,64
77,0,-0.428319,-3.04308,0.243904,-921.129,1483.73,-67.1306,64,0,64
78,0,-0.42874,-3.04409,0.244345,-921.115,1483.68,-67.14,64,0,64
79,0,-0.428056,-3.04361,0.244261,-921.111,1483.67,-67.123,64,0,64
80,0,-0.428129,-3.04374,0.244235,-921.084,1483.71,-67.1485,64,0,64
81,0,-0.428064,-3.04406,0.245128,-921.126,1483.68,-67.1538,64,0,64
82,0,-0.428988,-3.04412,0.243942,-921.131,1483.71,-67.1801,64,0,64
83,0,-0.429099,-3.04295,0.244004,-921.11,1483.73,-67.1651,64,0,64
84,0,-0.42757,-3.04413,0.244988,-921.105,1483.67,-67.1522,64,0,64
85,0,-0.42858,-3.04382,0.244157,-921.131,1483.7,-67.1515,64,0,64
86,0,-0.42893,-3.04418,0.243951,-921.118,1483.72,-67.1772,64,0,64
87,0,-0.428229,-3.04386,0.243974,-921.106,1483.7,-67.1565,64,0,64
88,0,-0.428619,-3.04539,0.244196,-921.123,1483.68,-67.1698,64,0,64
89,0,-0.427916,-3.04423,0.244507,-921.141,1483.64,-67.1686,64,0,64
90,0,-0.428614,-3.04428,0.244636,-921.128,1483.68,-67.1483,64,0,64
91,0,-0.428013,-3.04348,0.2441,-921.124,1483.73,-67.1529,64,0,64
92,0,-0.427933,-3.04396,0.244765,-921.101,1483.69,-67.1134,64,0,64
93,0,-0.428224,-3.0439,0.244226,-921.128,1483.72,-67.1762,64,0,64
94,0,-0.428667,-3.04331,0.244309,-921.104,1483.73,-67.1192,64,0,64
95,0,-0.428711,-3.04391,0.244036,-921.118,1483.7,-67.1519,64,0,64
96,0,-0.427644,-3.04444,0.245025,-921.131,1483.65,-67.1542,64,0,64
97,0,-0.428015,-3.04318,0.244439,-921.106,1483.72,-67.1351,64,0,64
98,0,-0.427841,-3.04342,0.244597,-921.114,1483.68,-67.1669,64,0,64
99,0,-0.428164,-3.04256,0.243911,-921.119,1483.73,-67.1401,64,0,64
