Objects
30
,,Global Angle drone_3:drone_3,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,potX,potY,potZ
,,rad,rad,rad,mm,mm,mm
77,0,3.17487,-0.432432,0.206475,-879.193,404.93,-48.7144,64,104,64
78,0,3.17506,-0.43222,0.206911,-879.203,404.886,-48.6908,64,104,64
79,0,3.17486,-0.43286,0.204721,-879.145,404.933,-48.6892,64,104,64
80,0,3.17505,-0.432234,0.205794,-879.203,404.9,-48.6904,64,104,64
81,0,3.17463,-0.432359,0.206476,-879.2,404.909,-48.7165,64,104,64
82,0,3.17486,-0.431544,0.205348,-879.205,404.917,-48.716,64,104,64
83,0,3.17503,-0.431744,0.205888,-879.204,404.879,-48.7148,64,104,64
84,0,3.17517,-0.43196,0.206477,-879.197,404.914,-48.7064,64,104,64
85,0,3.17514,-0.432261,0.206074,-879.18,404.926,-48.7101,64,104,64
86,0,3.17504,-0.432492,0.205541,-879.185,404.894,-48.7045,64,104,64
87,0,3.17524,-0.432943,0.206055,-879.185,404.892,-48.7056,64,104,64
88,0,3.17507,-0.431899,0.205245,-879.201,404.912,-48.7064,64,104,64
89,0,3.17491,-0.432473,0.205422,-879.182,404.877,-48.6743,64,104,64
90,0,3.17501,-0.432743,0.204697,-879.174,404.912,-48.6897,64,104,64
91,0,3.17511,-0.431545,0.20469,-879.22,404.924,-48.6834,64,104,64
92,0,3.17507,-0.432307,0.205649,-879.197,404.905,-48.7014,64,104,64
93,0,3.17496,-0.432267,0.206155,-879.188,404.927,-48.7165,64,104,64
94,0,3.17504,-0.43175,0.205175,-879.207,404.925,-48.7009,64,104,64
95,0,3.17519,-0.43295,0.205177,-879.162,404.954,-48.7158,64,104,64
96,0,3.17478,-0.432387,0.205072,-879.167,404.933,-48.6973,64,104,64
97,0,3.17536,-0.432583,0.205306,-879.194,404.906,-48.6814,64,104,64
98,0,3.17503,-0.432726,0.205531,-879.189,404.905,-48.6912,64,104,64
99,0,3.17516,-0.432165,0.205987,-879.189,404.933,-48.7195,64,104,64
100,0,3.17499,-0.432126,0.205181,-879.207,404.916,-48.7085,64,104,64
101,0,3.17491,-0.431735,0.205422,-879.207,404.889,-48.6856,64,104,64
102,0,3.17516,-0.432422,0.20537,-879.214,404.905,-48.6883,64,104,64
103,0,3.17532,-0.433305,0.205634,-879.188,404.912,-48.6888,64,104,64
104,0,3.17481,-0.432053,0.205759,-879.217,404.929,-48.7123,64,104,64
105,0,3.17486,-0.432418,0.205217,-879.208,404.905,-48.6954,64,104,64
106,0,3.17506,-0.431916,0.205498,-879.206,404.883,-48.6873,64,104,64
107,0,3.17491,-0.432613,0.206324,-879.154,404.922,-48.7066,64,104,64
108,0,3.17499,-0.432397,0.2063,-879.168,404.93,-48.7296,64,104,64
109,0,3.17468,-0.431873,0.205426,-879.177,404.974,-48.722,64,104,64
110,0,3.17302,-0.428089,0.205129,-879.202,404.927,-48.7151,64,104,64
111,0,3.17241,-0.436601,0.20627,-879.138,405.081,-48.6982,64,104,64
112,0,3.17048,-0.431316,0.208041,-879.178,405.239,-48.7074,64,104,64
113,0,3.17667,-0.437831,0.204755,-879.072,404.859,-48.6715,64,104,64
114,0,3.17021,-0.440901,0.210915,-879.163,405.174,-48.6384,64,104,64
115,0,3.17616,-0.437123,0.204847,-879.021,404.675,-48.6194,64,104,64
116,0,3.17361,-0.434615,0.205317,-879.083,404.928,-48.6847,64,104,64
117,0,3.17407,-0.436718,0.206409,-879.161,404.808,-48.6693,64,104,64
118,0,3.17361,-0.43933,0.207464,-879.079,404.743,-48.6583,64,104,64
119,0,3.17386,-0.437795,0.20556,-879.015,404.825,-48.667,64,104,64
120,0,3.17458,-0.436117,0.205581,-879.034,404.716,-48.6508,64,104,64
121,0,3.17451,-0.436051,0.204323,-879.036,404.734,-48.6045,64,104,64
122,0,3.1734,-0.438498,0.205011,-879.035,404.753,-48.6149,64,104,64
123,0,3.17371,-0.438677,0.205637,-879.001,404.781,-48.6269,64,104,64
124,0,3.17418,-0.437712,0.205466,-879.015,404.727,-48.658,64,104,64
125,0,3.17391,-0.437426,0.205441,-879.026,404.767,-48.6693,64,104,64
126,0,3.1742,-0.437711,0.206235,-879.05,404.746,-48.6271,64,104,64
127,0,3.1742,-0.43719,0.206356,-879.059,404.744,-48.6378,64,104,64
128,0,3.17439,-0.438408,0.206843,-878.995,404.818,-48.6893,64,104,64
129,0,3.17464,-0.438133,0.203602,-879.005,404.789,-48.6381,64,104,64
130,0,3.1739,-0.437586,0.205864,-879.02,404.776,-48.6607,64,104,64
131,0,3.17428,-0.437852,0.204406,-879.006,404.797,-48.6559,64,104,64
132,0,3.17385,-0.437652,0.205259,-879.007,404.758,-48.659,64,104,64
133,0,3.17415,-0.438131,0.205681,-879.027,404.749,-48.6671,64,104,64
134,0,3.17452,-0.438081,0.204468,-878.994,404.76,-48.6487,64,104,64
135,0,3.17445,-0.438664,0.206028,-879.009,404.753,-48.6405,64,104,64
136,0,3.17427,-0.438551,0.204839,-879.014,404.776,-48.6353,64,104,64
137,0,3.1736,-0.438064,0.205542,-879.045,404.739,-48.6345,64,104,64
138,0,3.17409,-0.438594,0.205595,-879.024,404.758,-48.6609,64,104,64
139,0,3.17382,-0.438377,0.204728,-879.02,404.768,-48.6476,64,104,64
140,0,3.1739,-0.438402,0.206529,-879.017,404.746,-48.6495,64,104,64
141,0,3.17419,-0.438173,0.204727,-879.004,404.777,-48.6356,64,104,64
142,0,3.17415,-0.439274,0.206168,-879.005,404.69,-48.6304,64,104,64
143,0,3.17426,-0.438893,0.206873,-879.013,404.731,-48.6503,64,104,64
144,0,3.17411,-0.438404,0.205179,-879.008,404.738,-48.6544,64,104,64
145,0,3.17413,-0.438761,0.206475,-879.015,404.667,-48.6224,64,104,64
146,0,3.17436,-0.438878,0.205057,-879.009,404.73,-48.651,64,104,64
147,0,3.17423,-0.43821,0.204985,-879.013,404.707,-48.6192,64,104,64
148,0,3.17434,-0.43808,0.204812,-878.997,404.761,-48.6437,64,104,64
149,0,3.17453,-0.440169,0.202388,-878.884,404.711,-48.5283,64,104,64
150,0,3.17609,-0.442752,0.197708,-878.606,404.575,-48.1705,64,104,64
151,0,3.18182,-0.453292,0.17978,-877.85,404.19,-45.013,64,104,64
152,0,3.18428,-0.457912,0.168219,-876.89,403.968,-37.2527,64,104,64
153,0,3.18523,-0.46083,0.15141,-875.54,403.558,-23.3891,64,104,64
154,0,3.18779,-0.469034,0.124768,-873.643,402.751,-3.62636,64,104,64
155,0,3.1892,-0.471477,0.112089,-870.987,401.851,21.6186,64,104,64
156,0,3.19065,-0.474541,0.105044,-867.527,400.571,52.8499,64,104,64
157,0,3.19057,-0.477088,0.106987,-863.432,398.877,89.3895,64,104,64
158,0,3.18514,-0.473816,0.124781,-858.548,397.18,130.735,64,104,64
159,0,3.17219,-0.47457,0.132454,-852.494,395.498,176.675,64,104,64
160,0,3.15814,-0.472687,0.138774,-845.872,393.766,227.107,64,104,64
161,0,3.14287,-0.470064,0.137778,-838.383,392.235,281.903,64,104,64
162,0,3.12855,-0.469191,0.135271,-830.218,390.951,341.105,64,104,64
163,0,0.0336729,0.104553,0.0569068,-821.213,390.774,404.964,64,104,64
164,0,0.0236091,0.109191,0.0564491,-811.539,390.921,472.022,64,104,64
165,0,0.0148477,0.115445,0.0564528,-800.932,391.937,542.11,64,104,64
166,0,0.0104691,0.118723,0.0568397,-789.738,393.52,614.527,64,104,64
167,0,0.0129932,0.117582,0.0591896,-777.694,395.798,687.924,64,104,64
168,0,0.0217266,0.111363,0.0602531,-765.101,398.377,760.135,64,104,64
169,0,0.0369009,0.103721,0.0607307,-751.675,401.335,829.567,64,104,64
170,0,0.0568671,0.0913265,0.0628782,-737.901,404.192,894.896,64,104,64
171,0,0.0822034,0.0764308,0.0672346,-723.528,406.903,955.364,64,104,64
172,0,0.110507,0.0570605,0.0706526,-708.819,409.422,1010.15,64,104,64
173,0,0.139723,0.0399217,0.076308,-693.641,411.405,1059.31,64,104,64
174,0,0.167055,0.0242102,0.0817753,-678.052,413.094,1102.39,64,104,64
175,0,0.189026,0.0153638,0.0866776,-662.216,414.111,1140.12,64,104,64
176,0,0.202992,0.000936053,0.0916986,-645.799,414.597,1173.34,64,104,64
177,0,0.211954,-0.000169133,0.0948556,-629.483,414.257,1202.07,64,104,64
178,0,0.214685,-0.00160264,0.0968883,-613.35,412.836,1227.08,64,104,64
179,0,0.213072,-0.00194716,0.0976845,-596.858,410.321,1249.27,64,104,64
180,0,0.207853,-0.00391641,0.0981259,-580.75,406.626,1268.7,64,104,64
181,0,0.207285,-0.00794109,0.0965345,-564.349,401.65,1286.24,64,104,64
182,0,0.198946,-0.0112515,0.0968413,-548.677,395.604,1301.1,64,104,64
183,0,0.188046,-0.0131737,0.0965539,-532.956,388.267,1314.13,64,104,64
184,0,0.176832,-0.016483,0.0956031,-517.618,379.928,1325.53,64,104,64
185,0,0.166274,-0.0187352,0.0943474,-502.72,370.573,1335.81,64,104,64
186,0,0.153777,-0.0240716,0.0922491,-488.069,360.343,1345.26,64,104,64
187,0,0.140816,-0.0268313,0.0929813,-474.025,349.126,1354.07,64,104,64
188,0,0.129998,-0.0297128,0.0895749,-460.208,337.108,1362.69,64,104,64
189,0,0.11844,-0.0350563,0.0887157,-447.264,324.531,1370.96,64,104,64
190,0,0.108069,-0.0410497,0.0878471,-434.989,311.821,1379.06,64,104,64
191,0,0.0978969,-0.0487175,0.0876127,-423.435,298.505,1387.01,64,104,64
192,0,0.0876125,-0.0539964,0.0870832,-412.671,285.06,1394.91,64,104,64
193,0,0.0792345,-0.0586791,0.086194,-402.73,271.462,1402.72,64,104,64
194,0,0.0719335,-0.0646955,0.0867691,-393.801,257.693,1410.4,64,104,64
195,0,0.0651962,-0.0693134,0.085698,-385.711,244.067,1417.97,64,104,64
196,0,0.0573487,-0.0759312,0.0851313,-378.719,230.487,1425.27,64,104,64
197,0,0.0484691,-0.080853,0.0862125,-372.745,216.971,1432.24,64,104,64
198,0,0.040825,-0.0854636,0.0849055,-367.819,203.972,1438.91,64,104,64
199,0,0.0334825,-0.0898752,0.0848629,-363.94,191.273,1445.37,64,104,64
200,0,0.0254552,-0.0933267,0.0840305,-361.362,178.856,1451.34,64,104,64
201,0,0.0191714,-0.0955401,0.0828959,-359.764,167.068,1457.11,64,104,64
202,0,0.0131229,-0.0972615,0.0831944,-359.427,155.644,1462.47,64,104,64
203,0,0.00869159,-0.0971192,0.0813192,-360.314,144.932,1467.53,64,104,64
204,0,0.00283986,-0.0985493,0.0813023,-362.439,134.903,1472.24,64,104,64
205,0,-0.00313046,-0.0972948,0.0804801,-365.765,125.508,1476.63,64,104,64
206,0,-0.00698502,-0.0940542,0.0777198,-370.17,116.991,1480.72,64,104,64
207,0,-0.0105067,-0.0915107,0.0777616,-375.775,109.206,1484.44,64,104,64
208,0,-0.0128295,-0.0864723,0.0784364,-382.498,102.058,1487.79,64,104,64
209,0,-0.0123772,-0.0814574,0.0763783,-390.11,95.9716,1490.86,64,104,64
210,0,-0.0122562,-0.0749049,0.0756466,-398.752,90.563,1493.43,64,104,64
211,0,-0.0113637,-0.0685594,0.0752793,-408.35,85.954,1495.53,64,104,64
212,0,-0.0113368,-0.0610227,0.0746922,-418.726,82.301,1497.08,64,104,64
213,0,-0.0107241,-0.051918,0.0752204,-429.795,79.3191,1498.3,64,104,64
214,0,-0.00961172,-0.0439894,0.0740208,-441.496,77.2532,1498.95,64,104,64
215,0,-0.0064745,-0.0338153,0.0740371,-453.685,75.9545,1499.18,64,104,64
216,0,-0.00388294,-0.023703,0.0744161,-466.367,75.2825,1498.91,64,104,64
217,0,0.000764344,-0.0140878,0.0743808,-479.331,75.4818,1498.17,64,104,64
218,0,0.00459139,-0.00604237,0.0753422,-492.586,76.2472,1496.85,64,104,64
219,0,0.00957798,0.00257054,0.0760084,-505.965,77.7114,1494.95,64,104,64
220,0,0.0150778,0.0103776,0.0770944,-519.426,79.6623,1492.54,64,104,64
221,0,0.0211783,0.0169777,0.0774392,-532.85,82.057,1489.7,64,104,64
222,0,0.0296218,0.0254021,0.0769679,-546.151,85.0492,1486.41,64,104,64
223,0,0.0363514,0.0336302,0.0785412,-559.208,88.2258,1482.8,64,104,64
224,0,0.0432196,0.0408113,0.0787598,-572.056,91.7406,1478.72,64,104,64
225,0,0.0489181,0.0471567,0.0797216,-584.629,95.5483,1474.27,64,104,64
226,0,0.0558465,0.0495817,0.0798779,-596.783,99.5472,1469.46,64,104,64
227,0,0.0617232,0.0535033,0.0804844,-608.544,103.629,1464.24,64,104,64
228,0,0.0597368,0.0552735,0.0783932,-619.77,108.108,1458.62,64,104,64
229,0,0.0458797,0.055633,0.0777781,-630.603,112.881,1452.54,64,104,64
230,0,0.0265886,0.0569182,0.0761086,-640.923,118.022,1446.08,64,104,64
231,0,0.00827312,0.0554725,0.075306,-650.921,123.667,1439.13,64,104,64
232,0,-0.00702383,0.0538644,0.0743298,-660.396,129.591,1431.81,64,104,64
233,0,-0.0147493,0.0543604,0.0735473,-669.344,136.271,1424.32,64,104,64
234,0,-0.0179733,0.0535805,0.0719065,-677.842,143.662,1416.66,64,104,64
235,0,-0.0191537,0.0530523,0.0724509,-686.038,151.705,1408.68,64,104,64
236,0,-0.0173447,0.054221,0.071243,-693.681,160.559,1400.65,64,104,64
237,0,-0.0152843,0.0532243,0.0706421,-700.948,170.392,1392.41,64,104,64
238,0,-0.0142108,0.054662,0.0699649,-707.742,180.935,1384.14,64,104,64
239,0,-0.0146073,0.0544506,0.0699969,-714.212,192.438,1375.64,64,104,64
240,0,-0.0141636,0.0556356,0.0687881,-720.071,204.679,1367.06,64,104,64
241,0,-0.0153178,0.0552944,0.0685757,-725.709,217.707,1358.24,64,104,64
242,0,-0.0165013,0.05615,0.0678868,-730.842,231.769,1349.29,64,104,64
243,0,-0.0175827,0.056537,0.0663462,-735.41,246.465,1340.18,64,104,64
244,0,-0.0179042,0.0561163,0.0655652,-739.642,262.048,1330.85,64,104,64
245,0,-0.0187341,0.0547875,0.0645349,-743.534,278.461,1321.39,64,104,64
246,0,-0.0196796,0.054761,0.0651908,-746.926,295.559,1311.97,64,104,64
247,0,-0.0187649,0.0539623,0.0639825,-749.999,313.601,1302.43,64,104,64
248,0,-0.0182481,0.0536502,0.0636169,-752.506,332.629,1292.83,64,104,64
249,0,-0.0180758,0.0539874,0.0634183,-754.62,352.336,1283.2,64,104,64
250,0,-0.0193872,0.0533981,0.0626722,-756.555,372.942,1273.33,64,104,64
251,0,-0.0212289,0.0543173,0.0645664,-757.838,394.369,1263.52,64,104,64
252,0,-0.0204067,0.0545305,0.0619371,-758.87,416.633,1253.58,64,104,64
253,0,-0.0212063,0.0545929,0.0639329,-759.35,439.629,1243.56,64,104,64
254,0,-0.0197021,0.0523327,0.0628582,-759.56,463.544,1233.53,64,104,64
255,0,-0.0200488,0.0548472,0.0631702,-759.228,488.221,1223.51,64,104,64
256,0,-0.0193675,0.0561847,0.0642086,-758.507,513.706,1213.54,64,104,64
257,0,-0.0161343,0.0543374,0.0623332,-757.362,539.975,1203.39,64,104,64
258,0,-0.0136092,0.0555975,0.0635766,-755.917,566.924,1193.25,64,104,64
259,0,-0.0117848,0.0566308,0.064692,-753.938,594.573,1182.91,64,104,64
260,0,-0.0099628,0.0552143,0.066949,-752.158,622.916,1172.24,64,104,64
261,0,-0.0090372,0.0559225,0.0666675,-749.123,651.9,1161.57,64,104,64
262,0,-0.00734428,0.0567459,0.0661692,-746.139,681.458,1150.65,64,104,64
263,0,-0.00781084,0.0570596,0.0663607,-742.598,711.844,1139.56,64,104,64
264,0,-0.00581096,0.058274,0.0662169,-738.725,742.727,1128.5,64,104,64
265,0,-0.00587671,0.0569019,0.0658749,-734.406,774.188,1117.37,64,104,64
266,0,-0.00665375,0.05827,0.0689619,-730.202,806.007,1106.26,64,104,64
267,0,-0.00169857,0.0543068,0.0558623,-724.28,838.1,1095.72,64,104,64
268,0,-0.000699408,0.0550341,0.0551527,-718.828,871.314,1084.82,64,104,64
269,0,-0.00251484,0.0529919,0.0591306,-713.623,904.814,1073.71,64,104,64
270,0,0.000247324,0.0522475,0.057626,-707.371,939.266,1062.88,64,104,64
271,0,-0.00255434,0.0532152,0.0646129,-700.889,973.568,1052.01,64,104,64
272,0,-0.00081213,0.0534685,0.0643237,-694.578,1008.7,1040.77,64,104,64
273,0,0.000617082,0.0531594,0.0643873,-687.666,1044.41,1029.58,64,104,64
274,0,0.00152661,0.0516006,0.0652824,-680.555,1080.61,1018.31,64,104,64
275,0,0.00288026,0.0505218,0.0658493,-673.309,1117.13,1006.89,64,104,64
276,0,0.00650984,0.0488463,0.063817,-665.917,1154.13,995.505,64,104,64
277,0,0.00824029,0.0483852,0.0624982,-658.008,1191.66,984.289,64,104,64
278,0,0.0085521,0.0494731,0.0618815,-650.171,1229.57,973.136,64,104,64
279,0,0.00904409,0.0471558,0.063329,-641.9,1267.99,962.073,64,104,64
280,0,0.0127138,0.0500856,0.0595772,-633.341,1307.0,951.297,64,104,64
281,0,0.0145571,0.0499574,0.058488,-624.818,1346.1,940.4,64,104,64
282,0,0.0140958,0.0503248,0.058855,-616.031,1385.76,929.883,64,104,64
283,0,0.0137326,0.0521807,0.0590762,-607.05,1425.68,919.393,64,104,64
284,0,0.0124159,0.0457522,0.0616889,-598.08,1465.95,908.837,64,104,64
285,0,0.0134721,0.0470369,0.0618225,-588.48,1506.95,899.102,64,104,64
286,0,0.00413675,0.0294124,0.0608588,-525.45,1464.82,868.396,64,104,64
287,0,0.00596151,0.0286299,0.0620565,-515.979,1506.14,857.936,64,104,64
288,0,0.0140042,0.0300253,0.0633512,-506.336,1547.45,847.42,64,104,64
289,0,0.0363446,0.0322371,0.063742,-496.465,1588.67,836.865,64,104,64
290,0,0.0707963,0.0354402,0.0656709,-486.41,1629.5,826.382,64,104,64
291,0,0.107359,0.0411084,0.0676559,-476.273,1669.84,816.054,64,104,64
292,0,0.137715,0.0457704,0.0699374,-465.817,1709.53,805.846,64,104,64
293,0,0.15926,0.0482071,0.0706795,-455.296,1748.45,795.866,64,104,64
294,0,0.171575,0.0472551,0.0715625,-444.453,1786.25,785.895,64,104,64
295,0,0.17672,0.0435387,0.0713831,-433.317,1822.74,775.946,64,104,64
296,0,0.1776,0.0344502,0.0738321,-422.304,1857.94,766.125,64,104,64
297,0,0.17812,0.0295531,0.0739901,-410.931,1891.67,756.357,64,104,64
298,0,0.179573,0.0240338,0.0761139,-399.375,1923.83,746.639,64,104,64
299,0,0.182299,0.0208777,0.0763535,-387.688,1954.48,737.169,64,104,64
300,0,0.184074,0.0186084,0.0768961,-376.129,1983.55,727.892,64,104,64
301,0,-0.445507,-3.05787,0.0706934,-364.24,2010.94,718.922,64,104,64
302,0,-0.442505,-3.06286,0.0696474,-352.698,2036.84,710.124,64,104,64
303,0,-0.439296,-3.06547,0.0689242,-341.377,2061.33,701.788,64,104,64
304,0,-0.442731,-3.06662,0.0716946,-329.513,2084.08,693.534,64,104,64
305,0,-0.433709,-3.07984,0.0705549,-318.957,2105.66,686.217,64,104,64
306,0,-0.434709,-3.08195,0.0745792,-307.709,2125.54,678.86,64,104,64
307,0,-0.430028,-3.08571,0.0761427,-297.41,2144.17,672.187,64,104,64
308,0,-0.421649,-3.09369,0.0789198,-287.368,2161.28,665.803,64,104,64
309,0,-0.418722,-3.09565,0.0792336,-277.367,2176.97,659.898,64,104,64
310,0,-0.419249,-3.09696,0.0845831,-267.092,2191.31,654.281,64,104,64
311,0,-0.422411,-3.10146,0.092973,-257.441,2204.41,649.257,64,104,64
312,0,-0.420215,-3.1018,0.100841,-247.105,2216.27,644.556,64,104,64
313,0,-0.418695,-3.10397,0.104292,-237.646,2227.05,640.65,64,104,64
314,0,-0.426017,-3.10372,0.114176,-228.676,2236.56,637.264,64,104,64
315,0,-0.421674,-3.10772,0.115001,-219.61,2244.93,634.442,64,104,64
316,0,0.149613,-0.00750347,0.0938784,-261.942,2350.25,641.582,64,104,64
317,0,0.145937,-0.00652058,0.0962759,-253.574,2356.65,639.803,64,104,64
318,0,0.143743,-0.00583201,0.0986929,-245.534,2363.21,638.352,64,104,64
319,0,0.13965,-0.00763712,0.0974542,-237.984,2367.85,637.41,64,104,64
320,0,0.133755,-0.00640235,0.0985356,-230.78,2371.12,637.032,64,104,64
321,0,0.129948,-0.00947194,0.0986955,-223.888,2374.68,636.585,64,104,64
322,0,0.124514,-0.00969224,0.0989097,-217.32,2377.58,636.322,64,104,64
323,0,0.117914,-0.0123525,0.0990035,-211.441,2378.73,636.472,64,104,64
324,0,0.111184,-0.0162483,0.099213,-205.749,2380.13,636.309,64,104,64
325,0,0.105283,-0.018836,0.0997243,-200.328,2380.5,636.692,64,104,64
326,0,0.0999704,-0.0177591,0.0994701,-195.433,2381.27,636.998,64,104,64
327,0,0.0964301,-0.0156291,0.0989214,-190.939,2381.38,637.76,64,104,64
328,0,0.0913103,-0.0119469,0.097835,-186.86,2380.34,639.093,64,104,64
329,0,0.0890745,-0.00977918,0.0967838,-182.989,2380.43,639.291,64,104,64
330,0,0.0848087,-0.0179768,0.100074,-179.521,2378.82,637.722,64,104,64
331,0,0.0840969,-0.0241476,0.0984085,-176.156,2376.93,633.328,64,104,64
332,0,0.0851977,-0.0291653,0.10092,-173.017,2375.58,624.608,64,104,64
