Objects
30
,,Global Angle drone_3:drone_3,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,potX,potY,potZ
,,rad,rad,rad,mm,mm,mm
1,0,0.0666514,0.0330898,0.0740754,-165.666,1078.02,-45.3603,64,24,64
2,0,0.0665855,0.0334789,0.0736384,-165.577,1078.0,-45.423,64,24,64
3,0,0.0663015,0.0335855,0.0733219,-165.571,1077.99,-45.445,64,24,64
4,0,0.0665562,0.0334492,0.0736696,-165.682,1078.09,-45.3703,64,24,64
5,0,0.0664475,0.0329164,0.0739303,-165.6,1078.0,-45.407,64,24,64
6,0,0.0664958,0.0334204,0.0737639,-165.549,1077.93,-45.4764,64,24,64
7,0,0.066372,0.033433,0.073705,-165.589,1077.98,-45.4375,64,24,64
8,0,0.0662753,0.0333479,0.0736971,-165.611,1078.0,-45.4102,64,24,64
9,0,0.0662863,0.0327573,0.0735848,-165.624,1078.0,-45.3996,64,24,64
10,0,0.0661943,0.0335038,0.073638,-165.585,1077.98,-45.4431,64,24,64
11,0,0.0662825,0.0336216,0.0734691,-165.644,1078.04,-45.401,64,24,64
12,0,0.0663376,0.0332489,0.0736601,-165.617,1078.01,-45.4197,64,24,64
13,0,0.0665312,0.0336691,0.0738073,-165.556,1077.96,-45.4579,64,24,64
14,0,0.0665101,0.033206,0.0739932,-165.644,1078.03,-45.4046,64,24,64
15,0,0.0661802,0.0324022,0.0737613,-165.566,1077.94,-45.469,64,24,64
16,0,0.0588247,0.0156011,0.0867408,-224.724,1169.02,-35.5459,64,24,64
17,0,0.059782,0.0157248,0.0870705,-224.762,1168.95,-35.5191,64,24,64
18,0,0.0576723,0.016648,0.0857921,-224.698,1169.13,-35.5489,64,24,64
19,0,0.0663404,0.0331058,0.0739631,-165.632,1078.03,-45.4068,64,24,64
20,0,0.0664665,0.0328286,0.0741136,-165.597,1078.0,-45.4442,64,24,64
21,0,0.0661348,0.0326885,0.0736338,-165.588,1078.02,-45.4455,64,24,64
22,0,0.0664523,0.0334934,0.0736027,-165.561,1077.99,-45.4496,64,24,64
23,0,0.0665262,0.0329181,0.0738853,-165.551,1077.94,-45.4728,64,24,64
24,0,0.0664429,0.033212,0.073626,-165.602,1078.02,-45.4263,64,24,64
25,0,0.0663526,0.0331973,0.0736541,-165.534,1077.95,-45.4887,64,24,64
26,0,0.0665536,0.0333156,0.0737833,-165.603,1078.0,-45.4224,64,24,64
27,0,0.0666128,0.0336964,0.0739009,-165.612,1078.01,-45.4162,64,24,64
28,0,0.0664063,0.03319,0.0737317,-165.631,1078.01,-45.4135,64,24,64
29,0,0.0664669,0.0333757,0.0738566,-165.57,1077.99,-45.4426,64,24,64
30,0,0.0662695,0.0332095,0.073795,-165.592,1077.98,-45.4545,64,24,64
31,0,0.0665954,0.0323682,0.0739648,-165.599,1078.01,-45.4331,64,24,64
32,0,0.0663059,0.0325945,0.0735815,-165.631,1078.01,-45.4078,64,24,64
33,0,0.0669244,0.0329921,0.0741075,-165.574,1077.98,-45.4307,64,24,64
34,0,0.0584688,0.0156944,0.0861245,-224.699,1169.04,-35.5938,64,24,64
35,0,0.0578169,0.0157193,0.0864524,-224.721,1169.09,-35.5581,64,24,64
36,0,0.0591345,0.0165928,0.0865219,-224.697,1169.04,-35.554,64,24,64
37,0,0.0597737,0.0174936,0.0867509,-224.726,1168.91,-35.5595,64,24,64
38,0,0.0577452,0.0149642,0.0865593,-224.714,1169.16,-35.5502,64,24,64
39,0,0.0588571,0.0182491,0.0861649,-224.718,1169.07,-35.5321,64,24,64
40,0,0.0580169,0.0177933,0.0856836,-224.699,1169.03,-35.5552,64,24,64
41,0,0.0603885,0.0160546,0.0869508,-224.713,1168.97,-35.551,64,24,64
42,0,0.0603795,0.017093,0.0865423,-224.745,1168.95,-35.5159,64,24,64
43,0,0.0663494,0.0337695,0.0734472,-165.64,1078.05,-45.4079,64,24,64
44,0,0.0662104,0.0330206,0.0735752,-165.632,1078.03,-45.4056,64,24,64
45,0,0.0664869,0.0334579,0.0733614,-165.638,1078.04,-45.3843,64,24,64
46,0,0.0662248,0.0329137,0.0735136,-165.526,1077.94,-45.4777,64,24,64
47,0,0.0663526,0.0334286,0.0734597,-165.629,1078.01,-45.4011,64,24,64
48,0,0.0668122,0.0331084,0.0743008,-165.616,1078.01,-45.4098,64,24,64
49,0,0.0666592,0.033122,0.0740304,-165.587,1077.97,-45.4328,64,24,64
50,0,0.0666047,0.0330473,0.0738113,-165.609,1078.0,-45.4327,64,24,64
51,0,0.0663463,0.0332683,0.0736915,-165.601,1078.03,-45.4075,64,24,64
52,0,0.0665273,0.0326525,0.0738515,-165.573,1077.97,-45.4582,64,24,64
