TX,TY,TZ,rot
1200.0,1200.0,200.0,0.6398886472714524
1200.0,1200.0,200.0,0.6397904108220182
1200.0,1200.0,200.0,0.6405993438633687
1200.0,1200.0,200.0,0.6418411723935771
1200.0,1200.0,200.0,0.6422730256004803
1200.0,1200.0,200.0,0.6434007348474948
1200.0,1200.0,200.0,0.6450616943694087
1200.0,1200.0,200.0,0.6459023179924296
1200.0,1200.0,200.0,0.646222088500864
1200.0,1200.0,200.0,0.647363257467557
1200.0,1200.0,200.0,0.6494564467073298
1200.0,1200.0,200.0,0.6516008452252285
1200.0,1200.0,200.0,0.6561835757509791
1200.0,1200.0,200.0,0.6618293397879792
1200.0,1200.0,200.0,0.6690829023113767
1200.0,1200.0,200.0,0.6781226932266262
1200.0,1200.0,200.0,0.6888891458965775
1200.0,1200.0,200.0,0.7001396065852146
1200.0,1200.0,200.0,0.7127398221409736
1200.0,1200.0,200.0,0.7247917503350559
1200.0,1200.0,200.0,0.7348145505379473
1200.0,1200.0,200.0,0.7458856339460336
1200.0,1200.0,200.0,0.7568455932465605
1200.0,1200.0,200.0,0.7671865302241585
1200.0,1200.0,200.0,0.7796395471156252
1200.0,1200.0,200.0,0.7920156364829168
1200.0,1200.0,200.0,0.8024343562568286
1200.0,1200.0,200.0,0.8127770821394111
1200.0,1200.0,200.0,0.8233134238080492
1200.0,1200.0,200.0,0.832980061628011
1200.0,1200.0,200.0,0.8435080506306551
1200.0,1200.0,200.0,0.8541443276637356
1200.0,1200.0,200.0,0.8647366482797569
1200.0,1200.0,200.0,0.8751439306442684
1200.0,1200.0,200.0,0.884716467326539
1200.0,1200.0,200.0,0.8957433765287408
1200.0,1200.0,200.0,0.9065254334584131
1200.0,1200.0,200.0,0.9185025325629936
1200.0,1200.0,200.0,0.9301791413213112
1200.0,1200.0,200.0,0.9412822526386494
1200.0,1200.0,200.0,0.9526847013562474
1200.0,1200.0,200.0,0.9649133601399885
1200.0,1200.0,200.0,0.9757430532772673
1200.0,1200.0,200.0,0.9874567896841769
1200.0,1200.0,200.0,1.0008527464844392
1200.0,1200.0,200.0,1.0132172724225732
1200.0,1200.0,200.0,1.025327131013794
1200.0,1200.0,200.0,1.037660170750225
1200.0,1200.0,200.0,1.049873442116904
1200.0,1200.0,200.0,1.0607124719984362
1200.0,1200.0,200.0,1.072664785805061
1200.0,1200.0,200.0,1.0849157580442115
1200.0,1200.0,200.0,1.0967997018800675
1200.0,1200.0,200.0,1.1078170602536737
1200.0,1200.0,200.0,1.1200227912507539
1200.0,1200.0,200.0,1.1316920087783657
1200.0,1200.0,200.0,1.1429081482700099
1200.0,1200.0,200.0,1.1541227732392316
1200.0,1200.0,200.0,1.1667297835771646
1200.0,1200.0,200.0,1.1784334061854527
1200.0,1200.0,200.0,1.1897860067132466
1200.0,1200.0,200.0,1.2013183192291437
1200.0,1200.0,200.0,1.2130077239351262
1200.0,1200.0,200.0,1.224314289822435
1200.0,1200.0,400.0,1.2359599457216592
1200.0,1200.0,600.0,1.246688879981058
1200.0,1200.0,800.0,1.257955151817589
1200.0,1200.0,1000.0,1.2691544005770756
1200.0,1200.0,1200.0,1.2804930423542875
1200.0,1200.0,1200.0,1.2914989181161027
1200.0,1200.0,1200.0,1.3029524576662967
1200.0,1200.0,1200.0,1.313836646768545
1200.0,1200.0,1200.0,1.324578459992427
1200.0,1200.0,1200.0,1.334462929434387
1200.0,1200.0,1200.0,1.3452580243863967
1200.0,1200.0,1200.0,1.356001692764877
1200.0,1200.0,1200.0,1.367194627653046
1200.0,1200.0,1200.0,1.3786149705902562
1200.0,1200.0,1200.0,1.3902458177315813
1200.0,1200.0,1200.0,1.4017498707530387
1200.0,1200.0,1200.0,1.4137751367711862
1200.0,1200.0,1200.0,1.4250286168786428
1200.0,1200.0,1200.0,1.4362457283113699
1200.0,1200.0,1200.0,1.4476115706887571
1200.0,1200.0,1200.0,1.4592768997374992
1200.0,1200.0,1200.0,1.4703369763326246
1200.0,1200.0,1200.0,1.4823052079864556
1200.0,1200.0,1200.0,1.4940221861525134
1200.0,1200.0,1200.0,1.5057093604244385
1200.0,1200.0,1200.0,1.5165122329948257
1200.0,1200.0,1200.0,1.5278768571344123
1200.0,1200.0,1200.0,1.539300144377723
1200.0,1200.0,1200.0,1.5510058157344442
1200.0,1200.0,1200.0,1.5624841913919012
1200.0,1200.0,1200.0,1.57386203950355
1200.0,1200.0,1200.0,1.584757404237828
1200.0,1200.0,1200.0,1.5958447312693222
1200.0,1200.0,1200.0,1.6070048367929206
1200.0,1200.0,1200.0,1.6176603526653488
1200.0,1200.0,1200.0,1.6280814400204213
1200.0,1200.0,1200.0,1.6389195178025233
1200.0,1200.0,1200.0,1.6494378607642575
1200.0,1200.0,1200.0,1.6602933835128166
1200.0,1200.0,1200.0,1.6719127968245928
1200.0,1200.0,1200.0,1.6839613073623034
1200.0,1200.0,1200.0,1.6953590830214271
1200.0,1200.0,1200.0,1.7062455298744563
1200.0,1200.0,1200.0,1.7170141718296112
1200.0,1200.0,1200.0,1.7281066930069897
1200.0,1200.0,1200.0,1.7390123858612223
1200.0,1200.0,1200.0,1.7495169096685768
1200.0,1200.0,1200.0,1.7602949930328555
1200.0,1200.0,1200.0,1.771724069322038
1200.0,1200.0,1200.0,1.7812758533755049
1200.0,1200.0,1200.0,1.791642873031487
1200.0,1200.0,1200.0,1.8020828188616775
1200.0,1200.0,1200.0,1.81383079597756
1200.0,1200.0,1200.0,1.8230103496338703
1200.0,1200.0,1200.0,1.834663838880926
1200.0,1200.0,1200.0,1.8454284307413573
1200.0,1200.0,1200.0,1.8570135220107553
1200.0,1200.0,1200.0,1.8674510749689794
1200.0,1200.0,1200.0,1.8793413580311973
1200.0,1200.0,1200.0,1.8900301300448443
1200.0,1200.0,1200.0,1.9021030351432173
1200.0,1200.0,1200.0,1.9130817649177594
1200.0,1200.0,1200.0,1.9243644500426675
1200.0,1200.0,1200.0,1.935870361030183
1200.0,1200.0,1200.0,1.9482635652167126
1200.0,1200.0,1200.0,1.9589563415154643
1200.0,1200.0,1200.0,1.9704847558377323
1200.0,1200.0,1200.0,1.9813895536519361
1200.0,1200.0,1200.0,1.992671327356976
1200.0,1200.0,1200.0,2.003898876950506
1200.0,1200.0,1200.0,2.0149935212069376
1200.0,1200.0,1200.0,2.027381957368537
1200.0,1200.0,1200.0,2.0402110548121777
1200.0,1200.0,1200.0,2.052597170216697
1200.0,1200.0,1200.0,2.063783463271033
1200.0,1200.0,1200.0,2.0759165170230323
1200.0,1200.0,1200.0,2.0861526494303613
1200.0,1200.0,1200.0,2.0965510231668625
1200.0,1200.0,1200.0,2.1070160264863054
1200.0,1200.0,1200.0,2.1177321439756085
1200.0,1200.0,1200.0,2.128879823238278
1200.0,1200.0,1200.0,2.140099429041165
1200.0,1200.0,1200.0,2.151147786941276
1200.0,1200.0,1200.0,2.161481542732716
1200.0,1200.0,1200.0,2.1719099731327494
1200.0,1200.0,1200.0,2.182254193656557
1200.0,1200.0,1200.0,2.1922049925344176
1200.0,1200.0,1200.0,2.201848040690554
1200.0,1200.0,1200.0,2.211271159868489
1200.0,1200.0,1200.0,2.2222939601512928
1200.0,1200.0,1200.0,2.2311458262332198
