x,y,z,rot
-1030.3898744852709,117.2352947930489,469.5783623425212,4.265014328927577
-1025.920107877216,113.59106153160631,467.9385224313125,4.264423829520711
-1004.4216199976985,95.01805180107031,460.37083832472536,4.2642875327942145
-1000.1899096272255,91.34172988080812,458.919796455512,4.264410840094683
-996.4388677734801,87.86390980815196,457.5780617390871,4.264668770348482
-992.7365038261507,84.40861112082112,456.5862243767645,4.26494896162639
-988.9260737283498,80.91368443505817,455.1560546095755,4.264875393442039
-985.2566585851566,77.62792786883723,453.73235347842825,4.263534827425832
-981.8422012205742,74.39930970557663,451.811594245812,4.26069242557587
-978.6511936691795,71.37855909141865,449.6977887810006,4.2584083080383435
-975.2504773481232,68.1662510727554,447.16278611535614,4.252199322248412
-972.3030251304267,65.29321963080965,445.14502669455305,4.247314615126585
-969.3336527449404,62.260007647301585,444.01333464013,4.240413823087895
-966.8397406970864,59.538095630659704,444.38317633765433,4.233791293042383
-964.2654234950528,56.996685819930555,446.82031426502107,4.224511470053965
-962.2445526851903,54.632656854901846,451.9785750632998,4.215326568325716
-960.1490065660882,52.06422406731354,459.8475974217536,4.206392598711
-958.611270314995,49.7610717158342,470.300848015504,4.19740324740523
-957.3943653889108,47.76945905694612,482.7590172904961,4.187320391207644
-956.3760040203207,45.83032360519401,497.3402301148067,4.175312879692954
-955.6950632425506,44.0741492101236,513.1710371954646,4.164492673075147
-955.5364490186863,42.55930581305702,530.1703731877118,4.154500848915093
-955.0544995925924,40.9853826450273,547.3892127466779,4.142474191886109
-955.3429724093725,39.88239174605174,565.0510750831221,4.131844771130602
-955.2363010429839,38.47902186173873,583.0126227525616,4.119734565792308
-955.5405425098975,37.43114472130707,600.9486711840585,4.107969946386276
-956.3485048570936,36.52587897177486,619.1759836787351,4.0964213093073205
-956.7673913955381,35.6721541521964,636.9103618464563,4.086462504102061
-957.6112568410098,35.021747783709046,654.7338087036128,4.074305636234412
-958.6168283273433,34.44498078228508,672.4753003348628,4.062620845034291
-959.8311309472975,33.95154959803052,690.1043979713195,4.05044464006296
-961.1524150300992,33.808976990827276,707.4501486336025,4.039944758432126
-962.393242294092,33.485257432236466,724.5386641265243,4.027537181137902
-963.8966807986661,33.328486101996056,741.4404581141297,4.016330709607285
-965.8153461642061,33.629008623370744,758.1732117231494,4.005669794402699
-967.753253180207,33.81696758680892,774.8196605291126,3.994163953731484
-969.7703497423331,34.12275853024906,791.127438671094,3.9823634253704414
-971.8634270403977,34.482454631712166,807.288760415117,3.9700382219997117
-974.0726209846174,34.91842442173703,823.5007839037487,3.95953846049968
-976.5378018326771,35.54294703444086,839.6304631560954,3.947204254319764
-979.1906119737525,36.297785855789996,855.857579286176,3.936289960407767
-982.0010981980424,37.32613154053851,871.9407568264434,3.9255244304445425
-984.6040975148308,37.993894440350786,887.5652233205232,3.9123867983050085
-987.4711528804952,39.07585193552911,903.1575293430279,3.9006372093769213
-990.6291373021018,40.17253859385217,918.7144951665871,3.8905055043447083
-993.4703425384347,41.04765025415064,933.8650107892945,3.8792401579557154
-996.7616739601581,42.31645661981898,949.0581929969146,3.86735290611057
-999.95266885361,43.43689565765299,964.0695996527389,3.8565170421319768
-1003.1280858239927,44.68654512748101,978.7297038891933,3.848603126535941
-1006.7347628200711,46.027757582898865,993.4247644927223,3.841994029791489
-1009.9785275018481,47.25104832256186,1007.7193418860111,3.8394605612494663
-1013.4780855036604,48.765892271037444,1021.8177508633654,3.835438099217791
-1017.2005024166226,50.0635987394768,1036.0313056398822,3.835219916986245
-1020.6032537429144,51.44145125412958,1049.778542075069,3.8342352589292883
-1024.5295844881277,53.010023313216514,1063.884849122269,3.8358393619586324
-1027.955583360355,54.214907140154246,1077.5554779452534,3.8386212609030226
-1031.7709220007716,55.52527451029929,1091.4282483428726,3.842338959178278
-1035.732050924057,56.96604543002569,1105.3390829680461,3.846985355925442
-1039.348866226387,58.008070298587235,1118.9004371952897,3.8568781751064583
-1043.3636424541317,59.45468307831397,1131.6358204829892,3.864981660442388
-1047.1948368824337,60.641215433232404,1142.762839559446,3.8728159736244687
-1051.1435603213226,61.850857343528205,1151.9695245086427,3.8824969622003995
-1054.86411983145,62.98554350916927,1159.0053524062937,3.8911857153092564
-1058.9197887235875,64.2249193396437,1164.1018037322874,3.8987019472668156
-1062.6700355242394,65.21845857197113,1167.0420198744098,3.9045774267841207
-1066.6351939658173,66.60435698794622,1168.3238108777236,3.9079511872990995
-1070.4756010395286,67.53118478553348,1167.9942454648128,3.9117355014463957
-1074.2602259088421,68.67258930649733,1166.4156121872736,3.913651235883942
-1078.4034225217115,69.8452695624568,1163.8785412376164,3.9153270298769933
-1082.1511761864813,70.94854503877272,1160.0209719603283,3.9170126494936945
-1085.8342611376395,71.87960569878891,1155.39150842458,3.9182870965352348
-1089.8166519354959,73.09813963168929,1150.3666970510924,3.9176160402185856
-1093.507175321426,74.27182153009478,1144.5897335176478,3.9158278428411215
-1097.3568388004196,75.4205193332694,1138.7687655418426,3.9114964292232473
-1101.0871723843493,76.57799640722682,1132.6935787428952,3.9062090403084144
-1104.924100076391,77.83479957718274,1126.6561802917963,3.8995510274576817
-1108.674917355903,79.09571311923023,1120.7924617424253,3.8926372278300803
-1112.4771868948324,80.28379724454024,1115.0107827181932,3.885940432580857
-1116.0932691996825,81.61570627869067,1109.4716218311955,3.882975385695191
-1119.7023822207454,83.02850228949356,1104.2112393439704,3.8810088336101733
-1123.2460523875773,84.23035314171848,1099.370241248248,3.878001077624282
-1126.9116318361987,85.73742147079234,1094.8100382123798,3.876667145520482
-1130.4764809459052,87.12338696655536,1090.6048535089283,3.875869566598969
-1133.8959080967606,88.33494213236013,1086.8017409877364,3.8746724231860816
-1137.3980227395477,89.9447255539961,1083.2706648093663,3.873084834941181
-1140.9102037227378,91.26588931643285,1080.029869668816,3.872878868406627
-1144.3026140657173,92.58910161141232,1076.9660013398498,3.8729768148196557
-1147.565842140578,94.0626016165985,1074.1227173864734,3.8728653501162613
-1150.9204089244854,95.35198784250802,1071.6097448962817,3.870785042774005
-1154.2845249567954,96.69522587018459,1069.2413038788536,3.8717352634652125
-1157.2854866282307,98.13026105397289,1067.0608319407472,3.8725800241521218
-1160.7795511952963,99.48096218683874,1065.2593787492062,3.871204465393054
-1163.7876592970704,100.57955431193221,1063.5309015090918,3.8733365874736605
-1166.8498205291257,102.15989140583353,1061.8435196607816,3.872373177459577
-1169.975630982906,103.37540428119252,1060.4229981442443,3.872183741722173
-1172.8397464174557,104.47493399486262,1059.0789703315081,3.8737453055783786
-1175.8491889296783,105.96662893298215,1057.7822705507333,3.8729132713236125
-1178.9092406457448,107.11745611735365,1056.496205455658,3.8728855886893436
-1181.718180492928,108.2039012606674,1055.078535326664,3.8733802619432653
-1184.5782285803618,109.47420805134664,1053.7337740056282,3.873346645110316
-1187.5034424016462,110.75395344343485,1052.9697827877567,3.8734329426850413
-1190.4216781548732,112.03407217293272,1053.0678662666417,3.8738257976456287
-1193.0461347890596,113.23332785500118,1054.5702465407842,3.8740354799464236
-1195.9608468207377,114.344004838728,1058.0946989314523,3.874487863111399
-1198.7485895773805,115.57375982931747,1063.9377410989769,3.8759450741512693
-1201.606188419157,116.73896366623788,1071.5688601326808,3.8755287862810146
-1204.5852743750859,117.85365356713972,1081.1829728379325,3.875311236203777
-1207.3415010028898,119.09557575471324,1092.0085572227513,3.874293031434821
-1210.228187298047,120.33839442487444,1104.0590452584772,3.875016048088988
-1212.9745994267419,121.50579053643851,1116.3855595436019,3.8750931569533598
-1215.8470537779522,122.53939298002794,1128.2165187583637,3.8735401887397085
-1218.3829308825882,123.51021681286225,1138.4457194405638,3.8735003182814025
-1220.9252390041904,124.64638547789177,1146.937962400467,3.8737765515246623
-1223.5428872173657,125.74266668108645,1153.3439618004666,3.872846083090996
-1226.03343480964,126.89181333261942,1157.7174447846062,3.871798137523865
-1228.4984129872103,127.99950591197519,1160.4012404035764,3.8719065709421123
-1230.9369044361265,129.17520658502286,1161.3248671215329,3.869587341160378
-1233.1649002575532,130.2971991662157,1160.8210129322674,3.871306788551215
-1235.289156144728,131.63881829550277,1158.96108635207,3.8699685418928986
-1237.3966063551227,132.9336249241049,1156.182267798707,3.8697336287989326
-1239.4384333073258,134.3013679318542,1152.335549372968,3.869666516561179
-1241.506517652929,135.7481544611151,1147.7469937874723,3.869386666496358
-1243.4484839029008,137.17188394749456,1142.5337513150419,3.8701487838690327
-1245.7061754038225,138.786221886883,1137.1184655977613,3.8697522432861833
-1247.576897029969,140.35930129853696,1131.0833916810168,3.8703498867850397
-1249.3953658610096,141.97926949106142,1125.1444073166554,3.873156776320492
-1251.4235903955434,143.76437832698542,1119.111081729686,3.872145941326666
-1253.2046170670465,145.4875421763216,1113.094426650148,3.8722767344782154
-1255.0046990414103,147.29441671793515,1107.143704610622,3.8728428069283325
-1256.6809155588412,149.18186994160865,1101.3116645251048,3.8726457514508947
-1258.4553172929582,151.1870805916912,1095.52264596681,3.8723397086241285
-1260.0018177299985,152.90230687650083,1089.8989181174034,3.8754313151743145
-1261.6229471197275,154.98136337354973,1084.328866892883,3.874068368601249
-1263.2846219484288,157.11800189971063,1078.8492752008895,3.8732534732993993
-1264.6668605883146,159.00157018788494,1073.56244076449,3.875396176018708
-1266.1428272535602,161.1282793997358,1068.4220576439757,3.8727768819813932
-1267.5148338912381,163.37021205456924,1063.3404714267785,3.874013213216397
-1268.8203732737286,165.35940305570134,1058.5112472932537,3.875671304586367
-1270.1953802690914,167.59074405969977,1053.7922784449358,3.8745188566379474
-1271.3985032654623,169.8155156496894,1049.1712377344315,3.87462732808935
-1272.5756961354869,172.16961713845714,1044.8608648255408,3.87524296045034
-1273.7374955196185,174.4166350327567,1040.6671507640694,3.8748500655628044
-1274.705783669948,176.62022527942864,1036.7612345850898,3.8749789158121253
-1275.8872966369722,179.0861763518244,1033.6516553930858,3.8757201497222082
-1276.93869800496,181.37504557146306,1031.508741438132,3.875895636372497
-1278.0209463150686,183.78708482981736,1031.17297939185,3.876368500679477
-1279.0429345274395,186.1691152260373,1032.8944101384334,3.8759037595338195
-1280.1148244498063,188.6026538208071,1037.028258880228,3.877069839338098
-1281.229009470876,190.96723558241564,1043.6895272723016,3.877105127308507
-1282.3460743216904,193.44406196131567,1052.4220097481425,3.877919864822068
-1283.3653020229883,195.56975726671774,1062.977788608249,3.878048493085716
-1284.6189508940076,198.01874362000137,1074.919978741693,3.875962612998574
-1285.7156953413282,200.42129956773996,1087.8980422861132,3.8767223575117615
-1286.7399062643337,202.68987004920038,1101.4296120200668,3.8760626113907493
-1287.8084318683375,204.84403138189052,1115.2671957619764,3.876485997959437
-1288.780858437521,207.1535658427933,1128.9034028553483,3.8757456276914777
-1289.7210613688385,209.32879193217596,1141.4161667083501,3.8743407814105684
-1290.5790714942475,211.65076224118985,1152.348428773728,3.8731771054273696
-1291.3650922238176,213.81792759681716,1161.248894762095,3.8733253357111637
-1292.052256625471,216.0282100898634,1168.0229661926378,3.8722185516396164
-1292.7656021830087,218.28111067851532,1172.7147695396309,3.8732562069971377
-1293.3351280407664,220.61073584189742,1175.4169657550572,3.8712229736381185
-1293.8758091217435,222.93420860782393,1176.568930133038,3.8708514763402397
-1294.256800406781,225.22832218021125,1176.220020424341,3.8704092814892777
-1294.6397968421813,227.51682134506035,1174.62090936924,3.8716811520057
-1295.0682260076373,229.87729739145755,1171.871830479213,3.868997937398802
-1295.3469926942823,232.28706867216098,1167.9303162955603,3.869653071891351
-1295.7093304969787,234.756939872542,1163.1800340798568,3.86989383019067
-1295.8867866265482,237.04423353263834,1157.6926959912257,3.8721756109082115
-1296.2397516401697,239.67599111186414,1151.676888316138,3.869694640794821
-1296.354890361793,242.18946041500257,1145.0971366040205,3.870880872098183
-1296.4899262657602,244.64361288824117,1138.2221217201516,3.8706327107039615
-1296.5701726608793,247.24667099121822,1131.3476683936008,3.872399586205652
-1296.6518755096774,249.74914945278834,1124.4245088574548,3.871745554744003
-1296.8037059335568,252.35599284039353,1117.676717640749,3.8740465521472274
-1296.8892902263826,254.99367720797625,1110.8632946810778,3.87313297851967
-1296.849674695226,257.61682214462945,1104.2450472293374,3.872911761896804
-1296.8382802724077,260.0725244912201,1097.7997929465807,3.8732511720490566
-1296.5198697248468,262.69953154409484,1091.2874387508505,3.8749882885222906
-1296.55049491144,265.23377481910046,1085.1726550689284,3.8737754199187844
-1296.3189836505367,267.8055424201611,1079.104464739107,3.8745434333634132
-1296.0731843017475,270.2818303051409,1073.1108563775904,3.8751067504961254
-1295.966138803441,272.94464135129,1067.3357338256467,3.874783733609988
-1295.519945515906,275.25388564797447,1061.693093453461,3.8759285725051136
-1295.291043759222,277.7760656112764,1056.0468575871878,3.8749750555030773
-1295.045039641315,280.1596953854529,1050.7850677539436,3.876783354727673
-1294.5258681149844,282.72241278952777,1045.2885507686967,3.8744406431426093
-1294.228004518994,285.1728124285251,1040.1196846486519,3.8752105934340544
-1293.7943848839532,287.6256715529301,1035.154558465939,3.8754289071011994
-1293.394710421718,290.0058411970531,1031.0687574688552,3.875356369177207
-1293.1099559049726,292.59397966778175,1028.2384939542846,3.875071799891126
-1292.5029602313484,294.3198100403709,1027.2592695738263,3.8768256117822495
-1292.1686772616865,296.82514467213514,1028.0647466549008,3.876201356215285
-1292.0979886569426,299.20651557834213,1031.6606053337546,3.8764005296343407
-1291.9158463698654,301.46594292812614,1037.5310548041239,3.8766137936216083
-1291.7778910709596,303.5607778889574,1045.6251559633895,3.876433425380303
-1291.912236718133,305.584951585828,1055.83861164407,3.8756531860623356
-1291.973449669979,307.7025184232808,1067.1087363600732,3.87550102225817
-1292.079250878415,309.7160845822823,1079.5434381013306,3.8754526254163935
-1292.2826569950773,311.76140955293795,1092.6624111912154,3.8756423419052406
-1292.5389669300519,313.7113093091642,1106.1595918616438,3.8744618763321657
-1292.79151795952,315.62801699398375,1119.513501712446,3.8743988198335972
-1292.9216094335989,317.50763889614484,1131.6937069856983,3.8734332853634434
-1293.114133382758,319.3847790201312,1142.3995980265192,3.871712536385002
-1293.2604844449977,321.15677514459924,1151.1767015378994,3.8720701090018883
-1293.5208628076227,323.0504346071389,1157.9102029062476,3.8704688263492852
-1293.5692175367658,324.87438512228357,1162.3954170431841,3.8697472813884133
-1293.6397008887939,326.78010564748706,1165.0790682291824,3.8691331967686473
-1293.661963077628,328.546212679317,1166.1726100556805,3.8704125446171536
-1293.8847466350878,330.61079859806665,1165.753955204675,3.869245698931332
-1293.9195530192808,332.4757213872651,1164.1216631282837,3.868386136594175
-1293.9830404425713,334.38871027021906,1161.4162459995748,3.8701413218808316
-1294.0230074012247,336.424271643812,1157.529194259393,3.874437767573755
-1293.8786783789249,338.382471569433,1152.891711538904,3.8790927317490147
-1294.0799397678581,340.5232167801801,1147.661035426713,3.8829518321795975
-1294.1845463636582,342.5859659886321,1142.0478023977205,3.8896384821192544
-1294.2812126086508,344.6337936111499,1136.0664026462232,3.8919392886474022
-1294.523736710521,346.825586571948,1130.095298543196,3.8953208679736724
-1294.585436242354,348.83351379279253,1123.9926004102126,3.897786524457747
-1294.9515080369404,351.05152384425577,1118.0770061754633,3.899178333071916
-1295.284752213986,353.0879238717372,1112.4015008754163,3.900661729517918
-1295.3536414080484,355.30713798445026,1106.550695423156,3.902205177778085
-1295.779867101422,357.3012940357746,1101.2637817729922,3.9027318531159017
-1295.9257293868577,359.4123530223972,1096.0277217222415,3.9040379359241686
-1296.2065044135702,361.49580698172696,1091.117529021197,3.905421196332588
-1296.6321548680896,363.577102356633,1086.4675198671741,3.9069142321566113
-1296.755504957547,365.66948287790757,1081.8024533929379,3.9058079106113777
-1297.097395640648,367.73693256695356,1077.5257094944245,3.9058824953314137
-1297.3225800212922,369.7926742948994,1073.3582956245803,3.907005871765687
-1297.7074691432133,371.8342906432538,1069.4597702457236,3.9062933973646574
-1298.0205183237433,373.88900470519275,1065.6766248646134,3.907506027442228
-1298.2474714530035,375.8099644092875,1061.9842648351425,3.90644598374952
-1298.4338797837538,377.8454832175527,1058.344514067377,3.906077102648656
-1298.689074574827,379.80174062254645,1054.8995022052484,3.9070489398016957
-1298.912260269557,381.7120270578318,1051.6124330637772,3.906339183068044
-1299.160412651471,383.56333502065263,1048.3800266366188,3.9067673879745852
-1299.4036955220292,385.451523868461,1045.1343830254145,3.9053778302219406
-1299.5105392532614,387.2242030680941,1042.3445226900676,3.905790169042419
-1299.7256271886924,389.1442371579722,1040.207351945524,3.905963857744985
-1299.9489310989632,390.83865763498693,1039.5414448366473,3.9059481267815146
-1299.8840934515517,392.21571865433197,1040.8255866129755,3.905968478154629
-1300.2254345443514,393.9900380029752,1044.1630771722866,3.906497612512264
-1300.5308370308699,395.492117826857,1049.9476577045953,3.9060609121173293
-1301.050667032729,397.05905479902464,1058.0417893214708,3.9068678058605433
-1301.4121571962542,398.67511910928334,1067.7731321323288,3.9069027486950483
-1301.8844781698788,400.14468910074464,1079.0963336199343,3.9066753804402623
-1302.4629623408025,401.50288931448927,1091.6553903623044,3.9063459006720365
-1303.0499426542897,402.8950019635889,1104.9767977780857,3.905451057671813
-1303.6936220244095,404.2184042352558,1118.7191542141277,3.905135661723595
-1304.291149307363,405.45758517162,1132.3941388823891,3.906024881423521
-1304.8692491940558,406.7033135225096,1145.2460318256922,3.9050798621728093
-1305.5493513490924,408.00438475838865,1156.8385991447776,3.904461758226991
-1306.170725449411,409.13568874105596,1166.4639302504231,3.9042119673710247
-1306.6934441780877,410.4573824463817,1173.8493782629582,3.902450833995898
-1307.12820618613,411.58959876173174,1179.24232192378,3.9031058268558816
-1307.2633305022448,412.4177823467554,1182.4031170732121,3.9020911118086468
-1307.20182889512,413.01976880390896,1183.9252483822818,3.9008394552223074
-1306.8704732777508,413.2345525009919,1183.9812248175729,3.899823924550818
-1306.1772258885794,413.1411198615875,1182.7533246924602,3.899065750786047
-1305.1070978146838,412.3380206614305,1180.6931739164447,3.898940709859012
-1303.5136005188212,411.3765555942725,1177.2368098460715,3.897183223793261
-1301.2272720659482,409.29990713154234,1173.0175698506814,3.897098865650199
-1298.4256858897293,406.68196596962457,1168.1294245215456,3.897479121650204
-1295.022341450814,403.0201502816087,1162.794032320201,3.898581470914394
-1290.9005788393301,398.8898361696396,1156.676423529356,3.8979736224745234
-1285.9937024160813,393.7329399191649,1150.4239504346576,3.898699340658126
-1280.3552084329392,387.5334287981119,1144.0168552295108,3.899583958148432
-1274.1259117405739,380.55799178754035,1137.5106291750233,3.8998450895190464
-1267.2041760344503,372.8824045558705,1131.2772114394518,3.90144968212351
-1259.657185051974,364.3992074433625,1125.2123039084559,3.901502907678897
-1251.2896229881683,354.87505984214016,1119.221818603896,3.901955717862654
-1242.4982439108028,344.8505150901392,1113.598719427785,3.901563807890393
-1232.7019204088592,333.78806625386824,1108.0793826522286,3.9020116153636804
-1222.39844301366,321.908673082756,1102.7873700673877,3.901410933753986
-1211.4812999334526,309.3662752118309,1097.868750554946,3.9030529494305743
-1199.8948000965029,295.8316597237648,1093.089166684103,3.903316321745965
-1187.4749601687636,281.7145262387787,1088.26986831413,3.903120396786119
-1174.4944924353458,266.6741734180382,1083.6912723283363,3.902035792241916
-1161.0754959051017,251.02786537065444,1079.3766564187342,3.902321520330066
-1146.9222978782034,234.66055710218274,1075.1556452121129,3.902043653988591
-1131.959697071189,217.43103045844146,1071.038763976219,3.902483126191543
-1116.5349906908225,199.5627998925906,1067.17682683951,3.902002338390634
-1100.6821517362573,181.09938124843006,1063.5212192036174,3.9012314295531247
-1083.9226202558618,161.78056244388486,1059.8235186677387,3.9014637331613446
-1066.805100693115,141.84553950773162,1056.400846978532,3.902165365010295
-1049.1413242913939,121.41094433201829,1053.0015436624167,3.902980295238289
-1030.9929316003133,100.26948525125454,1049.8020630281153,3.903381855347546
-1012.4883018682311,78.50529548701877,1046.6141994360273,3.9036687453947754
-993.1106269160185,56.010403643183096,1043.7979135892324,3.903223446799911
-973.5295261621538,32.992206733899906,1041.7708901823114,3.903082720489951
-953.4502129924143,9.211354904719665,1041.2331925623982,3.9041983061008247
-932.9432511320864,-14.956062152296912,1042.6630443977651,3.9050278572059365
-911.9106809928002,-40.01238595757627,1046.1258371240856,3.9056317182498077
-890.4321723457971,-65.72184061407827,1052.001589666764,3.9062004320133044
-868.6631909477957,-91.9856168744447,1060.1026736958183,3.9063928927853353
-846.4343429590648,-118.9096900732355,1069.9738132124678,3.906955799146837
-824.1282110602523,-146.23341005897157,1081.4312952277253,3.9069852599349364
-801.0182287019614,-174.26094724974124,1093.820459969863,3.9077225386154804
-777.9289523152602,-202.6066234657509,1106.9429723053747,3.906804696921773
-754.399144025735,-231.52707649513547,1120.49844629587,3.9063953667787494
-730.4369144963272,-260.9486478083732,1133.8917553182328,3.907651841242912
-706.4379991580138,-290.37277639350884,1146.3504896949353,3.90652486425053
-681.9022718610646,-320.66660131850097,1157.3567725404478,3.906287458700368
-657.0092177659546,-351.04216881635057,1166.2618507331938,3.906059784813742
-632.1025654866041,-381.5832619897397,1173.1634294802852,3.9063182649078776
-606.52707623919,-412.74690070421025,1177.8309118917202,3.9064070848239396
-580.7310706597183,-443.8241548939292,1180.557949292751,3.9043567206369656
-554.4651005209363,-475.4603993055937,1181.6183203824314,3.9054451289896175
-527.8827624224256,-507.06512153465803,1181.2290342812055,3.9046535473658803
-500.76884044042396,-538.9226535179505,1179.6736641791776,3.905094098424106
-473.21575597696733,-570.9976018981638,1176.7166330236898,3.906172373302992
-445.08341615451275,-603.1826253881109,1172.7293568844336,3.904563381553178
-416.7415597409264,-635.4027993744672,1167.8122098917045,3.9049053290067905
-387.7969314859498,-667.7256811788167,1162.0555337992892,3.9052322502803833
-358.2942207057175,-700.0805940585585,1155.6498675970056,3.904851687876194
-328.5518665884146,-732.3129145130229,1148.981058355647,3.9053984544963445
-298.1895605506711,-764.7299913036815,1141.6148547182602,3.9043469305622267
-267.6304155105232,-796.9319650075203,1134.0222369645726,3.902662323319247
-236.5511645748547,-829.0288641305184,1126.3089138361765,3.9048945170511367
-205.0997308449174,-861.3742039799654,1118.4965900926204,3.90273590056964
-173.33439968435528,-893.4903560349833,1110.5620521728997,3.9048411812815558
-140.9747378196929,-925.6304865679963,1102.5687790381828,3.90605166052457
-108.93088055464885,-957.2887767278993,1094.7288742819915,3.9051163146546677
-76.7856027453425,-988.8315419353512,1087.3340276127064,3.9058999143975983
-45.53721980724827,-1019.194109662513,1080.2383923046132,3.9087302337080203
-15.082201385801978,-1049.0460960805867,1073.2610122778212,3.906449790301261
14.250594248906193,-1077.850051873923,1066.137307891204,3.9054775840586022
42.33617621337491,-1105.570950475057,1058.9632000171732,3.9005731724268133
68.7758301378182,-1131.9874227174703,1051.5603363642788,3.897506942444113
93.36448174696804,-1156.9404323505228,1044.1456875432364,3.894950043824539
115.76574663806943,-1180.1091536470617,1036.5179901786955,3.8958308066742315
135.93305713652117,-1201.7899183770937,1029.145737593751,3.8948156621536905
153.6128345959858,-1221.6454271449468,1021.8020893996827,3.895520597667593
169.21911192414277,-1240.0648198320264,1014.7566447338121,3.8968282732819994
181.82065656108142,-1256.0854790605094,1008.0144356590275,3.9030943942104637
192.59699536898006,-1271.1239815902738,1003.0233322487679,3.9036165226976456
200.88900640155902,-1284.2277397919909,999.5611844919454,3.9043286429304307
206.6394161614163,-1295.5555184184013,998.2704788480403,3.904243014991876
210.00730435188055,-1305.213315187844,999.1613096027804,3.9043666162899497
211.31594177775327,-1313.4849077216802,1002.9046307097818,3.9038522276960848
210.36762867085952,-1320.0913644376324,1008.6472645252907,3.905019323495197
