x,y,z,rot
-756.3485655023292,-1725.037270885255,1279.788363367228,4.762931106322438
-751.1720385137105,-1726.7907411556632,1283.0824152804764,4.7619088006867365
-730.7947392555816,-1735.1031012593453,1297.8503959341695,4.75960606491991
-727.6489897140762,-1736.7260966276747,1300.4842661259647,4.761131420780307
-724.8954677608729,-1738.3606697759014,1303.1182422380518,4.762600182236339
-722.4696642271128,-1740.0280139516508,1305.715109298436,4.7630140608358875
-720.1760189637622,-1741.8355885775306,1307.9405031175736,4.761614738031811
-718.427632942094,-1743.4285872421194,1309.948530257741,4.765666900811832
-716.6678130168211,-1744.8570463534652,1311.6605787682713,4.772298151613901
-715.0624454805929,-1746.7011187889989,1313.192428675633,4.7744537955008814
-714.2019454485096,-1748.1404129125228,1314.551793662887,4.783819409442513
-713.1457544733112,-1749.597288917405,1315.7884382849506,4.7918524788463985
-712.52708845295,-1751.4942924249751,1316.8708086058602,4.794429319884735
-712.063043532283,-1752.8919317942712,1317.772368262057,4.805232033628439
-711.7397649324276,-1754.2739370940894,1318.6839800307532,4.8173415982331615
-711.5910644268617,-1755.8027063607776,1319.6466432698767,4.82474565809966
-711.6839672225966,-1757.6097360993924,1320.587876028378,4.8323078623347415
-712.0028222445469,-1758.6739208713748,1321.3605891472957,4.847616216220546
-712.523768540882,-1760.124867401761,1322.0452976741306,4.8523390782683045
-713.2806846257414,-1761.574025962777,1322.5909251710234,4.863152554992533
-714.2048563301003,-1762.6921414418634,1323.023069793975,4.87684528990809
-715.3313450578046,-1763.93990518525,1323.4478343778333,4.886621395939195
-716.6720231259186,-1765.0373137022652,1323.807380724863,4.8938603541351835
-718.3835182583667,-1766.133985749873,1323.9640860998154,4.9075639925682815
-720.2731240300482,-1766.8083034945314,1324.01829011853,4.922780375385688
-722.1932519532487,-1767.8757617095293,1323.974141524182,4.930805962269268
-724.4218934005241,-1768.749429606024,1323.88091823171,4.941229598115733
-726.9465567978493,-1769.367094816744,1323.6838445808621,4.953746552584446
-729.6110728135247,-1769.8549666769975,1323.3945744384898,4.967609272986255
-732.3219888474498,-1770.5387079421753,1322.920915801201,4.976072229371231
-735.510601747102,-1771.0021063120587,1322.4255269117152,4.987775511619081
-738.8815483315858,-1771.4401419915685,1321.8465752974525,5.001237762941097
-741.9745325349272,-1771.6457655988909,1321.1424827764793,5.014369672031282
-745.4262083175946,-1772.2104918999025,1320.2908449273357,5.020010916950292
-748.8766688060456,-1772.387995212277,1319.2030768769346,5.0343702071580605
-752.8808394536331,-1772.5888862330146,1318.2569184970346,5.047764577410258
-756.8042531838513,-1772.7606507355745,1317.106736841825,5.058612830280043
-760.4397949101938,-1772.8839827969139,1315.8774634940646,5.067111311426347
-764.5551503558438,-1772.9182589767074,1314.549975327061,5.078820712998377
-768.7967149843064,-1772.863661021872,1313.1456831898272,5.092270768243109
-773.042895975753,-1772.6294116087365,1311.7269322790712,5.103561806715995
-777.239926715884,-1772.577756899206,1310.2811476465017,5.110818821849695
-781.7541789456887,-1772.40077935258,1308.6955916681331,5.122467591004064
-786.5862189414014,-1772.0309442076234,1307.0650522057674,5.135678603344449
-791.1735243184526,-1771.5071165839418,1305.3093984474933,5.148132003016959
-795.9086386328041,-1771.1010363970663,1303.4121621317684,5.157724368995893
-800.9202151739888,-1770.661897398642,1301.4609086742234,5.167334895874757
-805.8329076543064,-1769.8219556088986,1299.213952482616,5.181114216002785
-811.3026973670447,-1769.0940774178391,1297.1382740079466,5.192834013788816
-816.3714303310109,-1768.287899011946,1294.9559915521954,5.202959808637804
-821.9179564041076,-1767.4979905834264,1292.6547640828053,5.2110676548968735
-827.3314657727359,-1766.3636094175838,1290.1814982057426,5.226028111295755
-832.9886044029369,-1765.1405741787437,1287.5380263525597,5.237973447977886
-838.8036093598739,-1763.9878152033389,1285.0585603366258,5.248695961726819
-844.3336085682182,-1762.7008243886519,1282.2745910694766,5.255322655182821
-850.4371151049185,-1761.3305771589528,1279.4851766456693,5.267003388473812
-856.658690938924,-1759.7536530870364,1276.6851346576525,5.281977313450131
-862.7611357527102,-1758.166305503817,1273.7213084594564,5.292350726416733
