,timestamp,potZ,potRot,potY,potX,potCam
0,0.0,64,64,64,64,64
1,0.009522438049316406,64,64,64,64,64
2,0.01755690574645996,64,64,64,64,64
3,0.025521278381347656,64,64,64,64,64
4,0.033531904220581055,64,64,64,96,64
5,0.05049633979797363,64,64,64,96,64
6,0.05848860740661621,64,64,64,96,64
7,0.06659626960754395,64,64,64,96,64
8,0.07468008995056152,64,64,64,96,64
9,0.09174990653991699,64,64,64,96,64
10,0.0997622013092041,64,64,64,96,64
11,0.1068732738494873,64,64,64,96,64
12,0.11545109748840332,64,64,64,96,64
13,0.13263559341430664,64,64,64,96,64
14,0.14063620567321777,64,64,64,96,64
15,0.1487722396850586,64,64,64,96,64
16,0.15677309036254883,64,64,64,96,64
17,0.17304730415344238,64,64,64,96,64
18,0.18108892440795898,64,64,64,96,64
19,0.19001340866088867,64,64,64,96,64
20,0.1980297565460205,64,64,64,96,64
21,0.2145991325378418,64,64,64,96,64
22,0.22259759902954102,64,64,64,96,64
23,0.23065638542175293,64,64,64,96,64
24,0.23865866661071777,64,64,64,96,64
25,0.2546834945678711,64,64,64,96,64
26,0.26361870765686035,64,64,64,96,64
27,0.2717888355255127,64,64,64,96,64
28,0.2799074649810791,64,64,64,96,64
29,0.29595303535461426,64,64,64,96,64
30,0.30422163009643555,64,64,64,96,64
31,0.3126997947692871,64,64,64,96,64
32,0.32076382637023926,64,64,64,96,64
33,0.33669376373291016,64,64,64,96,64
34,0.34569740295410156,64,64,64,96,64
35,0.35370302200317383,64,64,64,96,64
36,0.3616933822631836,64,64,64,96,64
37,0.3787539005279541,64,64,64,96,64
38,0.3859097957611084,64,64,64,96,64
39,0.3948783874511719,64,64,64,96,64
40,0.40288233757019043,64,64,64,96,64
41,0.4190373420715332,64,64,64,96,64
42,0.42697715759277344,64,64,64,96,64
43,0.43524169921875,64,64,64,96,64
44,0.44420576095581055,64,64,64,96,64
45,0.4603133201599121,64,64,64,96,64
46,0.468308687210083,64,64,64,96,64
47,0.47630739212036133,64,64,64,96,64
48,0.48435306549072266,64,64,64,96,64
49,0.5013296604156494,64,64,64,96,64
50,0.5089943408966064,64,64,64,96,64
51,0.5171699523925781,64,64,64,96,64
52,0.5250887870788574,64,64,64,96,64
53,0.542090654373169,64,64,64,96,64
54,0.550163745880127,64,64,64,96,64
55,0.5580949783325195,64,64,64,96,64
56,0.5661623477935791,64,64,64,96,64
57,0.5830926895141602,64,64,64,96,64
58,0.5911579132080078,64,64,64,96,64
59,0.5991885662078857,64,64,64,96,64
60,0.6072003841400146,64,64,64,96,64
61,0.6233751773834229,64,64,64,96,64
62,0.6323297023773193,64,64,64,96,64
63,0.6403310298919678,64,64,64,96,64
64,0.6483864784240723,64,64,64,96,64
65,0.6643996238708496,64,64,64,96,64
66,0.6733295917510986,64,64,64,96,64
67,0.6813364028930664,64,64,64,96,64
68,0.6893889904022217,64,64,64,96,64
69,0.705409049987793,64,64,64,96,64
70,0.7136940956115723,64,64,64,96,64
71,0.7216925621032715,64,64,64,96,64
72,0.7306592464447021,64,64,64,96,64
73,0.7466912269592285,64,64,64,96,64
74,0.754986047744751,64,64,64,96,64
75,0.7635540962219238,64,64,64,96,64
76,0.7715487480163574,64,64,64,96,64
77,0.7876133918762207,64,64,64,96,64
78,0.7956116199493408,64,64,64,96,64
79,0.8037512302398682,64,64,64,96,64
80,0.8124027252197266,64,64,64,96,64
81,0.8283617496490479,64,64,64,96,64
82,0.8366494178771973,64,64,64,96,64
83,0.8446140289306641,64,64,64,96,64
84,0.8526415824890137,64,64,64,96,64
85,0.8697824478149414,64,64,64,96,64
86,0.8777475357055664,64,64,64,96,64
87,0.8858022689819336,64,64,64,96,64
88,0.8937532901763916,64,64,64,96,64
89,0.9104921817779541,64,64,64,96,64
90,0.9188060760498047,64,64,64,96,64
91,0.9268169403076172,64,64,64,96,64
92,0.934973955154419,64,64,64,96,64
93,0.9510798454284668,64,64,64,96,64
94,0.9600119590759277,64,64,64,96,64
95,0.9682948589324951,64,64,64,96,64
96,0.9763941764831543,64,64,64,96,64
97,0.9924004077911377,64,64,64,96,64
98,1.0007712841033936,64,64,64,96,64
99,1.0082852840423584,64,64,64,96,64
100,1.0168397426605225,64,64,64,96,64
101,1.0338408946990967,64,64,64,96,64
102,1.041835069656372,64,64,64,96,64
103,1.0498802661895752,64,64,64,96,64
104,1.0579054355621338,64,64,64,96,64
105,1.0738999843597412,64,64,64,96,64
106,1.082963228225708,64,64,64,96,64
107,1.0902867317199707,64,64,64,96,64
108,1.0992448329925537,64,64,64,96,64
109,1.1151533126831055,64,64,64,96,64
110,1.1231536865234375,64,64,64,96,64
111,1.1312739849090576,64,64,64,96,64
112,1.13946533203125,64,64,64,96,64
113,1.1565847396850586,64,64,64,96,64
114,1.164722204208374,64,64,64,96,64
115,1.172752857208252,64,64,64,96,64
116,1.180908203125,64,64,64,96,64
117,1.1970446109771729,64,64,64,96,64
118,1.2050414085388184,64,64,64,96,64
119,1.213261365890503,64,64,64,96,64
120,1.222191333770752,64,64,64,96,64
121,1.238191843032837,64,64,64,96,64
122,1.2461862564086914,64,64,64,96,64
123,1.255192756652832,64,64,64,96,64
124,1.2631855010986328,64,64,64,96,64
125,1.279179334640503,64,64,64,96,64
126,1.287186861038208,64,64,64,96,64
127,1.2951648235321045,64,64,64,96,64
128,1.303368330001831,64,64,64,96,64
129,1.3200569152832031,64,64,64,96,64
130,1.3280155658721924,64,64,64,96,64
131,1.3360786437988281,64,64,64,96,64
132,1.3450102806091309,64,64,64,96,64
133,1.3610451221466064,64,64,64,96,64
134,1.3690879344940186,64,64,64,96,64
135,1.3770191669464111,64,64,64,96,64
136,1.3860185146331787,64,64,64,96,64
137,1.4020156860351562,64,64,64,96,64
138,1.410015344619751,64,64,64,96,64
139,1.4181878566741943,64,64,64,96,64
140,1.4271891117095947,64,64,64,96,64
141,1.4433832168579102,64,64,64,96,64
142,1.4513888359069824,64,64,64,96,64
143,1.459383249282837,64,64,64,96,64
144,1.4674427509307861,64,64,64,96,64
145,1.4836406707763672,64,64,64,96,64
146,1.4925673007965088,64,64,64,96,64
147,1.5006046295166016,64,64,64,96,64
148,1.508605718612671,64,64,64,96,64
149,1.5244038105010986,64,64,64,96,64
150,1.5333545207977295,64,64,64,96,64
151,1.5413897037506104,64,64,64,96,64
152,1.5493931770324707,64,64,64,96,64
153,1.5654058456420898,64,64,64,96,64
154,1.5743474960327148,64,64,64,96,64
155,1.5823931694030762,64,64,64,96,64
156,1.5904128551483154,64,64,64,96,64
157,1.6066761016845703,64,64,64,96,64
158,1.6151535511016846,64,64,64,96,64
159,1.6231799125671387,64,64,64,96,64
160,1.6312921047210693,64,64,64,96,64
161,1.647338628768921,64,64,64,96,64
162,1.656273365020752,64,64,64,96,64
163,1.6642742156982422,64,64,64,96,64
164,1.6722726821899414,64,64,64,96,64
165,1.689272403717041,64,64,64,96,64
166,1.6972856521606445,64,64,64,96,64
167,1.706284999847412,64,64,64,96,64
168,1.7254836559295654,64,64,64,96,64
169,1.7337994575500488,64,64,64,96,64
170,1.7417271137237549,64,64,64,96,64
171,1.7587275505065918,64,64,64,96,64
172,1.7667694091796875,64,64,64,96,64
173,1.7745420932769775,64,64,64,96,64
174,1.7825310230255127,64,64,64,96,64
175,1.7995333671569824,64,64,64,96,64
