Frame,RX,RY,RZ,TX,TY,TZ,potZ,potRot,potY,potX
80,0.720678,-3.08249,-1.081,48.3157,160.389,481.97,92,64,64,80
81,0.726433,-3.08328,-1.08162,48.6196,159.856,482.073,96,64,64,80
82,0.730987,-3.08301,-1.08229,48.7549,159.116,482.123,96,64,64,80
83,0.740678,-3.08215,-1.09162,49.0075,158.374,481.874,96,64,64,80
84,0.746143,-3.08061,-1.09671,48.9677,157.371,481.667,96,64,64,80
85,0.736016,-3.07874,-1.10032,48.6195,156.634,481.333,96,64,64,80
86,0.735358,-3.07895,-1.09819,48.7201,156.125,481.333,96,64,64,80
87,0.736105,-3.07983,-1.0776,48.7715,155.385,481.877,96,64,64,80
88,0.732485,-3.08331,-1.06507,48.8384,154.739,482.1,96,64,64,80
89,0.736718,-3.08426,-1.06131,49.0379,154.285,481.975,96,64,64,80
90,0.739305,-3.08428,-1.07254,49.2292,153.875,481.416,96,64,64,80
91,0.74239,-3.08028,-1.0932,49.2502,153.24,480.463,100,64,64,80
92,0.749851,-3.0792,-1.1074,49.5988,152.841,479.854,100,64,64,80
93,0.731151,-3.07971,-1.09577,49.1095,151.862,479.681,100,64,64,80
94,0.726481,-3.08126,-1.08734,49.0378,151.115,479.559,100,64,64,80
95,0.730137,-3.0838,-1.09206,49.4709,150.746,479.178,100,64,64,80
96,0.723108,-3.08682,-1.10465,49.632,150.645,478.563,100,64,64,80
97,0.715474,-3.08649,-1.11055,49.4487,149.739,477.883,100,64,64,80
98,0.718663,-3.08552,-1.11299,49.4899,148.766,477.436,100,64,64,80
99,0.740155,-3.0839,-1.10207,49.8643,147.82,477.55,100,64,64,80
100,0.730282,-3.0865,-1.06127,48.9844,145.745,478.1,100,64,64,80
101,0.740004,-3.08944,-1.08261,49.8495,146.112,477.772,104,64,64,80
102,0.742683,-3.08727,-1.09792,49.897,145.445,477.312,104,64,64,80
103,0.743712,-3.08756,-1.10583,49.6763,144.469,477.069,104,64,64,80
104,0.739764,-3.08716,-1.09667,49.0259,142.805,477.091,104,64,64,80
105,0.740364,-3.08922,-1.0793,48.8157,141.521,477.653,104,64,64,80
106,0.743095,-3.09004,-1.0968,49.3637,141.419,477.649,104,64,64,80
107,0.739077,-3.08736,-1.10334,49.4148,140.248,477.642,104,64,64,80
108,0.736676,-3.08498,-1.07945,48.3007,137.895,478.232,104,64,64,80
109,0.73375,-3.08338,-1.05944,47.5733,136.041,479.083,104,64,64,80
110,0.73241,-3.08462,-1.06562,47.6918,135.085,479.375,104,64,64,80
111,0.741088,-3.08151,-1.08281,47.2844,133.466,479.232,108,64,64,80
112,0.725252,-3.07813,-1.08383,46.535,132.249,479.72,108,64,64,80
113,0.715114,-3.08409,-1.09075,47.1487,132.276,480.386,108,64,64,80
114,0.73598,-3.08702,-1.09657,47.618,131.698,481.302,108,64,64,80
115,0.745398,-3.08575,-1.08656,47.0791,129.909,482.078,108,64,64,80
116,0.72703,-3.08579,-1.06187,45.9706,127.634,482.837,108,64,64,80
117,0.733574,-3.08474,-1.06436,45.4989,126.309,483.474,108,64,64,80
118,0.754329,-3.08464,-1.0657,45.7166,124.984,484.041,108,64,64,80
119,0.735282,-3.08921,-1.04272,44.9021,123.443,485.119,108,64,64,80
120,0.735357,-3.08824,-1.08784,45.6633,124.195,485.097,108,64,64,80
121,0.723027,-3.08708,-1.09404,45.0141,122.685,485.226,112,64,64,80
122,0.721114,-3.08493,-1.06402,43.5347,120.064,486.245,112,64,64,80
123,0.725631,-3.08429,-1.05539,43.2978,118.907,487.148,112,64,64,80
124,0.726634,-3.08507,-1.06145,43.1985,117.818,487.491,112,64,64,80
