Frame,RX,RY,RZ,TX,TY,TZ,potZ,potRot,potY,potX
1,-2.60331,-0.322042,0.528159,-77.5444,35.7999,898.655,64,64,64,64
2,-2.61157,-0.325892,0.520957,-74.068,36.8611,924.757,64,64,64,64
3,-2.60701,-0.350379,0.470507,-63.8752,42.7548,989.282,64,64,64,64
4,-2.60812,-0.336037,0.470957,-59.1695,44.0415,1026.29,64,64,64,64
5,-2.62445,-0.361904,0.450002,-52.8649,46.7795,1065.93,64,64,64,64
6,-0.344433,0.333323,0.17726,-100.845,25.3014,1130.85,64,64,64,64
7,-0.348865,0.312778,0.184677,-94.4146,27.6755,1173.71,64,64,64,64
8,-0.356635,0.302612,0.143411,-90.934,29.0214,1218.86,64,64,64,64
9,-0.356465,0.282126,0.145205,-83.7903,31.7663,1262.99,64,64,64,64
10,-0.358862,0.265487,0.149434,-76.0304,34.8821,1307.75,64,64,64,64
11,-0.355705,0.240343,0.153717,-68.1884,37.6362,1352.09,64,64,64,64
12,-0.362979,0.2207,0.154161,-59.4309,41.4001,1396.49,64,64,64,64
13,-0.394399,0.240634,0.154135,-50.6346,44.8082,1443.38,64,64,64,64
14,-0.394608,0.226038,0.158011,-40.9794,48.8203,1488.08,64,64,64,64
15,-0.396784,0.212116,0.161906,-31.2793,52.6996,1532.82,64,64,64,64
16,-0.396635,0.197601,0.158606,-21.6727,56.8652,1577.47,64,64,64,64
17,-0.395695,0.184499,0.161243,-11.0485,61.5332,1622.11,64,64,64,64
18,1.80184,2.12866,0.462081,49.7647,86.6565,1599.48,64,64,64,64
19,1.83115,2.11411,0.448696,59.6917,92.1447,1644.74,64,64,64,64
20,1.84927,2.10976,0.443134,70.6219,97.2548,1687.97,64,64,64,64
21,-1.15574,3.20059,-1.66749,79.8709,20.3631,1785.1,64,64,64,64
22,-1.1522,3.19646,-1.58461,93.079,23.4756,1820.11,64,64,64,64
23,-1.14822,3.20261,-1.55479,106.102,26.8293,1851.42,64,64,64,64
24,-3.20932,0.648775,0.168301,97.9375,69.7878,1844.63,64,64,64,64
25,-3.19823,0.64491,0.130665,111.653,73.1781,1868.64,64,64,64,64
26,-3.20831,0.639986,0.130989,127.322,77.1053,1891.81,64,64,64,64
27,-3.20012,0.640329,0.118372,142.3,80.2179,1910.84,64,64,64,64
28,-3.19626,0.635285,0.112417,157.933,83.2039,1928.25,64,64,64,64
29,-3.18241,0.648641,0.114973,173.305,85.365,1943.29,64,64,64,64
30,-3.16555,0.639471,0.137308,189.415,87.9217,1955.71,64,64,64,64
31,-3.15405,0.639021,0.149151,205.909,89.5805,1967.2,84,64,104,64
32,-3.13023,0.64847,0.190327,222.188,90.5899,1977.07,84,64,104,64
33,-3.12122,0.655092,0.186597,238.97,91.1434,1986.79,84,64,104,64
34,-3.09616,0.690609,0.196397,255.252,89.8693,1995.75,84,64,104,64
35,-3.08722,0.698216,0.195008,272.037,89.642,2003.44,84,64,104,64
36,-3.07605,0.710272,0.194111,288.949,88.8002,2010.35,84,64,104,64
37,-3.06854,0.709162,0.18795,306.008,88.0195,2016.27,84,64,104,64
38,-3.05599,0.726366,0.197966,322.793,86.4917,2021.89,84,64,104,64
39,-1.85342,2.70834,-0.757393,406.071,94.4443,2042.34,84,64,104,64
