Frame,RX,RY,RZ,TX,TY,TZ
410,0.021063,-0.0626314,0.0989377,226.669,-875.069,1138.03
411,0.0173376,-0.0585437,0.0974932,223.2,-904.644,1135.91
412,0.0143765,-0.0492999,0.096563,218.937,-933.605,1133.69
413,0.0120945,-0.044855,0.0954647,213.991,-961.7,1131.08
414,0.0115698,-0.0346458,0.0941548,208.52,-989.152,1128.44
415,0.0123749,-0.0260854,0.092852,202.524,-1015.75,1125.43
416,0.0150362,-0.0190792,0.0931147,196.03,-1041.56,1122.25
417,0.0173777,-0.0126418,0.0927972,189.236,-1066.8,1119.04
418,0.0187568,-0.0100298,0.0930431,182.033,-1091.17,1115.51
419,0.0194845,-0.0101655,0.0932533,174.539,-1114.69,1111.88
420,0.0185896,-0.0111426,0.0932971,166.863,-1137.65,1108.25
421,0.0184496,-0.0113086,0.0945721,158.866,-1159.76,1104.53
422,0.0176027,-0.0132465,0.0950836,150.666,-1181.21,1100.76
423,0.0161212,-0.013065,0.094298,142.264,-1201.94,1096.96
424,0.0118283,-0.0135064,0.0938683,133.628,-1221.82,1093.11
425,0.00708754,-0.0131055,0.0929542,124.752,-1241.05,1089.24
426,0.00377766,-0.0104324,0.0921122,115.763,-1259.37,1085.28
427,0.00321131,-0.00371009,0.0910299,106.658,-1276.97,1081.3
428,0.00598034,0.00711428,0.0894554,97.5513,-1293.75,1077.36
429,0.0101857,0.0164098,0.0889543,88.4918,-1309.88,1073.36
430,0.0144356,0.023976,0.0882951,79.4844,-1325.12,1069.27
431,0.0178989,0.02969,0.0877962,70.6481,-1339.71,1065.23
432,0.0179679,0.033239,0.0881939,61.9752,-1353.42,1061.02
433,0.0172836,0.0345713,0.0876294,53.6169,-1366.51,1057.01
434,0.0165246,0.0346426,0.0877752,45.5586,-1378.85,1052.87
435,0.0173792,0.0338058,0.0872837,37.8143,-1390.58,1048.86
436,0.0215984,0.0304902,0.0850661,30.2889,-1401.73,1044.61
437,0.0225712,0.0316585,0.0850126,23.2264,-1412.04,1040.4
438,0.0236953,0.0316384,0.0850627,16.4983,-1421.83,1036.16
439,0.0247358,0.032724,0.084891,10.154,-1430.91,1031.77
440,0.0253229,0.0381407,0.0836733,4.0097,-1439.4,1027.23
441,0.0239325,0.0410732,0.0834362,-1.64031,-1447.24,1022.79
442,0.0225702,0.0440058,0.0825737,-7.00686,-1454.43,1018.32
443,0.0214916,0.0375404,0.0833702,-12.2717,-1461.03,1013.68
444,0.0222033,0.0403024,0.082433,-16.9733,-1467.14,1009.07
445,0.0229635,0.0395476,0.0824376,-21.233,-1472.53,1004.39
446,0.0232882,0.0397157,0.0813809,-25.111,-1477.43,999.743
447,0.0222291,0.0409384,0.0824399,-28.7817,-1481.56,994.857
448,0.0217035,0.0420654,0.0825093,-31.9979,-1485.2,990.08
449,0.0171553,0.045382,0.0851899,-35.2026,-1488.42,985.056
450,0.016618,0.0451337,0.0847051,-37.7764,-1490.85,980.31
451,0.0169754,0.0447944,0.0835869,-39.8403,-1492.77,975.744
452,0.0155765,0.0445764,0.0847849,-41.8326,-1493.91,971.21
453,0.0166327,0.0447604,0.082703,-43.2125,-1494.73,966.8
454,0.0165883,0.0445733,0.0847487,-44.6156,-1494.67,962.306
455,0.0177405,0.0423483,0.083412,-45.3634,-1494.33,957.968
456,0.0186437,0.0431568,0.0838101,-46.0024,-1493.25,953.606
457,0.0177192,0.0432755,0.0850693,-46.375,-1491.59,949.245
458,0.0184168,0.0425695,0.0847752,-46.284,-1489.45,944.934
459,0.0194608,0.0399538,0.082759,-45.7838,-1486.9,940.691
460,0.0209944,0.042069,0.084183,-45.368,-1483.6,936.334
