Frame,RX,RY,RZ,TX,TY,TZ,potZ,potRot,potY,potX
1,3.1184,2.28475,-0.168799,-80.0199,197.454,799.845,65,67,64,80
2,3.11753,2.28359,-0.169021,-79.7606,197.424,799.951,65,67,64,80
3,3.11781,2.28383,-0.168778,-79.4669,197.359,800.127,65,67,64,80
4,3.11826,2.28416,-0.168559,-79.1499,197.29,800.317,65,67,64,80
5,3.11785,2.28418,-0.168734,-78.7296,197.262,800.536,65,67,64,80
6,3.11734,2.28421,-0.169787,-78.3217,197.205,800.767,65,67,64,80
7,3.11669,2.28349,-0.170598,-77.901,197.178,801.078,65,67,64,80
8,3.11544,2.28281,-0.168949,-77.4915,197.156,801.406,65,67,64,80
9,3.11371,2.28411,-0.169578,-77.0176,197.052,801.768,65,67,64,80
10,3.11292,2.28337,-0.167915,-76.5732,196.932,802.06,65,67,64,80
11,3.11353,2.28262,-0.168638,-76.2514,196.745,802.249,63,61,64,80
12,3.11317,2.28204,-0.167539,-75.9019,196.519,802.419,63,61,64,80
13,3.11364,2.28244,-0.168627,-75.4819,196.329,802.594,63,61,64,80
14,3.11423,2.28251,-0.168073,-75.0213,196.122,802.697,63,61,64,80
15,3.11593,2.28301,-0.168029,-74.5436,195.867,802.806,63,61,64,80
16,3.11655,2.28355,-0.167288,-74.2077,195.537,802.789,63,61,64,80
17,3.11581,2.28339,-0.167199,-73.8416,195.222,802.707,63,61,64,80
18,3.11688,2.28233,-0.165878,-73.4651,194.934,802.55,63,61,64,80
19,3.11748,2.28137,-0.16687,-72.9794,194.607,802.326,63,61,64,80
20,3.11875,2.28186,-0.1679,-72.3708,194.357,802.105,63,61,64,80
21,3.116,2.28292,-0.168457,-71.5208,194.282,801.907,69,63,64,80
22,3.11686,2.28252,-0.166302,-71.0513,193.918,801.502,69,63,64,80
23,3.1172,2.28399,-0.163694,-70.6656,193.429,800.957,69,63,64,80
24,3.11896,2.28295,-0.165196,-70.0464,193.055,800.443,69,63,64,80
25,3.11627,2.28399,-0.166369,-69.0975,192.814,799.889,69,63,64,80
26,3.11657,2.28464,-0.163689,-68.7564,192.218,799.078,69,63,64,80
27,3.11786,2.28269,-0.166635,-68.2661,191.748,798.144,69,63,64,80
28,3.11598,2.28476,-0.165983,-67.3805,191.472,797.365,69,63,64,80
29,3.11729,2.28455,-0.161487,-67.0762,190.79,796.216,69,63,64,80
30,3.11618,2.28474,-0.164805,-66.0362,190.535,795.281,69,63,64,80
31,3.11526,2.28443,-0.164275,-65.6259,189.935,794.053,61,68,64,80
32,3.11478,2.2844,-0.161485,-64.8,189.598,792.99,61,68,64,80
33,3.11409,2.28573,-0.16331,-64.0983,189.145,791.874,61,68,64,80
