Objects
30
,,Global Angle drone_3:drone_3,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
1,0,1.81941,1.06331,1.01837,-1500.32,308.184,729.279
2,0,1.81527,1.06432,1.01323,-1498.6,306.936,727.204
3,0,1.81145,1.06083,1.01401,-1496.78,305.653,724.321
4,0,0.00417765,3.27843,-0.0903329,-1532.38,347.5,729.085
5,0,-0.00857007,3.27859,-0.0825837,-1530.62,345.859,726.12
6,0,-0.00950786,3.27663,-0.0855696,-1528.75,344.532,722.893
7,0,0.000488443,3.27984,-0.0873399,-1526.97,344.087,720.474
8,0,-0.00766923,3.27918,-0.0856822,-1525.03,342.608,717.371
9,0,-0.00598987,3.28223,-0.0860235,-1523.35,341.883,714.493
10,0,0.0658203,-0.0247327,-2.70684,-1521.69,339.481,710.605
11,0,0.0635358,-0.0280209,-2.70817,-1519.75,338.641,707.702
12,0,0.0658407,-0.0255315,-2.71047,-1517.97,338.105,704.946
13,0,0.0659941,-0.0253863,-2.71089,-1516.37,337.772,702.197
14,0,0.0669426,-0.0256296,-2.71178,-1514.51,337.459,699.416
15,0,0.0614722,-0.0232701,-2.71451,-1512.87,337.164,696.852
16,0,0.0644666,-0.0238154,-2.71627,-1511.07,336.488,694.04
17,0,0.0673592,-0.0221789,-2.71847,-1509.53,336.565,691.562
18,0,0.0675945,-0.02236,-2.72144,-1507.98,336.147,688.852
19,0,0.0662697,-0.0245548,-2.72453,-1506.39,336.249,686.455
20,0,0.0655803,-0.0187017,-2.72241,-1504.88,335.832,683.635
21,0,0.0616391,-0.0228381,-2.72853,-1503.32,336.337,681.528
22,0,0.0654972,-0.0179926,-2.72289,-1502.13,336.12,678.886
23,0,0.0696476,-0.0227136,-2.72633,-1500.65,336.719,676.824
24,0,0.0716583,-0.0175219,-2.72466,-1499.37,336.771,674.433
25,0,0.0663355,-0.0197609,-2.72779,-1497.79,337.323,672.496
26,0,0.0673878,-0.0189921,-2.72593,-1496.63,338.032,670.401
27,0,0.0689104,-0.0223757,-2.73129,-1495.06,338.506,668.538
28,0,0.0680381,-0.0146492,-2.72653,-1493.88,338.939,666.457
29,0,0.0725662,-0.0212293,-2.7312,-1492.52,339.651,664.871
30,0,0.0745378,-0.0135419,-2.72378,-1491.27,339.91,662.851
31,0,0.0703409,-0.0182551,-2.72721,-1490,340.458,661.311
32,0,0.0694957,-0.0186427,-2.72869,-1488.72,341.428,659.765
33,0,0.0668509,-0.0184508,-2.72433,-1487.56,341.523,657.822
34,0,0.0717367,-0.0187172,-2.72801,-1486.24,342.437,656.292
35,0,0.0644865,-0.0179876,-2.72857,-1485.2,343.022,654.686
36,0,0.0704921,-0.0206618,-2.72993,-1484.05,343.878,653.027
37,0,0.0735968,-0.0166987,-2.72517,-1482.93,344.051,651.368
38,0,0.071588,-0.0197549,-2.72814,-1482.03,344.726,650.108
39,0,0.0703374,-0.0129345,-2.7252,-1480.82,345.374,648.537
40,0,0.0727762,-0.0186674,-2.7262,-1479.97,345.773,647.296
41,0,0.0727006,-0.0176359,-2.72514,-1478.73,346.289,645.881
42,0,0.0721064,-0.0140714,-2.72477,-1477.87,347.027,644.573
43,0,0.0670376,-0.0181642,-2.72832,-1476.96,347.652,643.535
44,0,0.0683908,-0.0199231,-2.73037,-1475.92,348.509,642.573
45,0,0.0698862,-0.0187581,-2.73126,-1475.04,349.349,641.31
46,0,0.0682342,-0.0180762,-2.72714,-1474.38,349.266,640.188
47,0,0.0752616,-0.0165254,-2.725,-1473.56,349.833,639.315
48,0,0.0725458,-0.0184186,-2.72666,-1472.47,350.382,638.417
49,0,0.0691755,-0.0185462,-2.72724,-1471.8,350.622,637.709
50,0,0.0703985,-0.0181297,-2.72741,-1470.99,351.309,637.189
51,0,0.0707169,-0.0155288,-2.72756,-1470.1,352.046,636.475
52,0,0.0683636,-0.0156056,-2.72687,-1469.43,352.379,635.833
53,0,0.0650604,-0.0170827,-2.72718,-1468.74,352.646,635.383
54,0,0.0672871,-0.0156523,-2.72708,-1468.06,353.105,634.924
55,0,0.0702106,-0.0147413,-2.72681,-1467.4,353.662,634.499
56,0,0.0667434,-0.016818,-2.72934,-1466.72,354.033,634.078
57,0,0.0653278,-0.0212126,-2.73208,-1466.08,354.429,633.734
58,0,0.0660398,-0.0218749,-2.73022,-1465.29,354.653,633.264
59,0,0.0695245,-0.0199132,-2.7285,-1464.64,355.01,632.751
60,0,0.0712592,-0.0190296,-2.72618,-1464.09,355.173,632.112
61,0,0.0691368,-0.0219824,-2.72836,-1463.42,355.406,631.385
62,0,0.0707967,-0.021305,-2.72647,-1462.74,355.625,630.622
63,0,0.0755414,-0.0147815,-2.72098,-1461.97,356.057,629.747
64,0,0.0735538,-0.0141674,-2.72412,-1461.26,356.339,628.857
65,0,0.0668389,-0.0203416,-2.72837,-1460.6,356.663,627.995
66,0,0.0659537,-0.0212414,-2.72581,-1459.91,356.901,627.052
67,0,0.0673838,-0.0188972,-2.72706,-1459.04,357.469,625.721
68,0,0.0696022,-0.0179953,-2.72374,-1458.24,357.67,624.361
69,0,0.0651303,-0.0203259,-2.72765,-1457.55,357.77,623.129
70,0,0.0622029,-0.021268,-2.72973,-1456.73,358.314,621.696
71,0,0.0725555,-0.0164845,-2.72315,-1455.85,358.49,619.998
72,0,0.0697488,-0.0188922,-2.7278,-1455.11,358.699,618.508
73,0,0.0671795,-0.0186026,-2.72625,-1454.47,358.905,617.074
74,0,0.0692219,-0.0227839,-2.73067,-1453.43,359.457,615.468
75,0,0.0715903,-0.0195118,-2.72463,-1452.5,359.597,613.879
76,0,0.0641019,-0.0186893,-2.73146,-1451.83,360.179,612.26
77,0,0.066953,-0.0217049,-2.72768,-1451.08,359.835,610.612
78,0,0.0713095,-0.0177534,-2.72763,-1450.08,360.255,608.762
79,0,0.0694039,-0.0155649,-2.72498,-1449.13,360.344,607.07
80,0,0.0707192,-0.0222543,-2.72694,-1448.53,360.405,605.415
81,0,0.0682052,-0.0189546,-2.72328,-1447.44,360.433,603.75
82,0,0.0683142,-0.0186017,-2.72951,-1446.44,361.18,602.527
83,0,0.0655955,-0.0203311,-2.72721,-1445.67,361.014,601.074
84,0,0.0684973,-0.0198587,-2.72606,-1444.92,360.901,599.512
85,0,0.0723111,-0.0158533,-2.72383,-1444.08,361.098,598.379
86,0,0.0690893,-0.0187993,-2.72689,-1442.77,361.496,597.2
87,0,0.0702225,-0.0186565,-2.7267,-1442.25,361.723,596.141
88,0,0.0666731,-0.0201415,-2.72582,-1441.43,361.457,594.901
89,0,0.0676454,-0.0208987,-2.72629,-1440.54,361.584,593.877
90,0,0.0748088,-0.0162113,-2.72364,-1439.75,361.795,593.099
