Objects
30
,,Global Angle drone_3:drone_3,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
88,0,0.368833,3.08412,-0.39033,-41.3996,82.1849,24.5551
89,0,0.369452,3.08588,-0.391177,-41.4107,82.1914,24.592
90,0,0.370351,3.08708,-0.390733,-41.4531,82.1226,24.6999
91,0,0.369443,3.08605,-0.390908,-41.4034,82.2189,24.5997
92,0,0.369001,3.08608,-0.391062,-41.3903,82.2057,24.5688
93,0,0.369663,3.08592,-0.390748,-41.4186,82.1922,24.6055
94,0,0.370247,3.08525,-0.391206,-41.4427,82.1107,24.6535
95,0,0.368551,3.08542,-0.391029,-41.3779,82.2414,24.5644
96,0,0.370628,3.08469,-0.39042,-41.4656,82.0921,24.6559
97,0,0.370296,3.08665,-0.391573,-41.4321,82.1662,24.6592
98,0,0.369482,3.08513,-0.390743,-41.4073,82.1867,24.6083
99,0,0.36895,3.08609,-0.390759,-41.3949,82.2275,24.5948
100,0,0.368716,3.08563,-0.39161,-41.3984,82.2388,24.5393
101,0,0.369415,3.08699,-0.391412,-41.3986,82.2157,24.586
102,0,0.369689,3.0846,-0.391272,-41.4495,82.1479,24.61
103,0,0.370342,3.08569,-0.391139,-41.4203,82.1205,24.6621
104,0,0.369871,3.08599,-0.391765,-41.4197,82.1818,24.6081
105,0,0.370577,3.08571,-0.390986,-41.4588,82.0823,24.6915
106,0,0.369987,3.08491,-0.390726,-41.4354,82.1426,24.6439
107,0,0.370249,3.08574,-0.391293,-41.4497,82.1018,24.6594
108,0,0.371411,3.08278,-0.39057,-41.4958,82.0087,24.7192
109,0,0.369343,3.08573,-0.391076,-41.4165,82.1979,24.6059
110,0,0.369991,3.08518,-0.391129,-41.4585,82.1336,24.6397
111,0,0.369743,3.0856,-0.391341,-41.4611,82.1756,24.6192
112,0,0.369687,3.08501,-0.39157,-41.4709,82.1581,24.6006
113,0,0.370476,3.08523,-0.391166,-41.4479,82.141,24.6457

