potX,potY,potZ,potRot,duration
64,64,64,80,10
68,64,64,80,10
72,64,64,80,10
76,64,64,80,10
80,64,64,80,10
84,64,64,80,10
88,64,64,80,10
92,64,64,80,10
96,64,64,80,10
100,64,64,80,10
104,64,64,80,10
108,64,64,80,10
112,64,64,80,10
116,64,64,80,10
120,64,64,80,10
124,64,64,80,10
128,64,64,80,10
124,64,64,80,10
120,64,64,80,10
116,64,64,80,10
112,64,64,80,10
108,64,64,80,10
104,64,64,80,10
100,64,64,80,10
96,64,64,80,10
92,64,64,80,10
88,64,64,80,10
84,64,64,80,10
80,64,64,80,10
76,64,64,80,10
72,64,64,80,10
68,64,64,80,10
