potX,potY,potZ,potRot,duration
64,64,64,80,10
64,64,68,80,10
64,64,72,80,10
64,64,76,80,10
64,64,80,80,10
64,64,84,80,10
64,64,88,80,10
64,64,92,80,10
64,64,96,80,10
64,64,100,80,10
64,64,104,80,10
64,64,108,80,10
64,64,112,80,10
64,64,116,80,10
64,64,120,80,10
64,64,124,80,10
64,64,128,80,10
64,64,124,80,10
64,64,120,80,10
64,64,116,80,10
64,64,112,80,10
64,64,108,80,10
64,64,104,80,10
64,64,100,80,10
64,64,96,80,10
64,64,92,80,10
64,64,88,80,10
64,64,84,80,10
64,64,80,80,10
64,64,76,80,10
64,64,72,80,10
64,64,68,80,10
