Frame,RX,RY,RZ,TX,TY,TZ,potZ,potRot,potY,potX
1,1.34717,-2.71144,-0.121462,-125.135,208.171,610.532,64,64,64,64
2,1.34568,-2.71287,-0.121244,-125.105,206.213,607.777,64,64,64,64
3,3.45364,0.164948,0.362774,-71.9447,254.574,595.527,64,64,64,64
4,3.45339,0.168888,0.360516,-71.9685,252.662,592.784,64,64,64,64
5,3.4603,0.147179,0.352973,-71.2106,250.319,590.194,64,64,64,64
6,3.45989,0.146726,0.351229,-71.1321,248.497,587.735,64,64,64,64
7,3.45807,0.144545,0.351082,-70.9609,246.491,585.367,64,64,64,64
8,3.46493,0.138253,0.343259,-70.7337,244.512,582.854,64,64,64,64
9,3.45849,0.139439,0.347666,-70.7335,242.577,580.749,64,64,64,64
10,3.46274,0.137249,0.342521,-70.498,240.666,578.431,64,64,64,64
11,3.46087,0.135341,0.347301,-70.541,238.621,576.457,64,64,64,64
12,3.45591,0.142264,0.345851,-70.5432,236.777,574.42,64,64,64,64
13,3.4602,0.136255,0.350162,-70.5741,234.787,572.517,64,64,64,64
14,3.45428,0.140688,0.355844,-70.456,232.975,571.065,64,64,64,64
15,3.4564,0.141984,0.342422,-70.5449,231.095,568.895,64,64,64,64
16,3.45839,0.137118,0.347295,-70.7246,229.191,567.249,64,64,64,64
17,3.45263,0.141875,0.352424,-70.7824,227.527,565.931,64,64,64,64
18,3.45337,0.142375,0.345548,-70.8034,225.99,564.345,64,64,64,64
19,3.45454,0.137111,0.35694,-71.0964,224.085,563.025,64,64,64,64
20,3.45193,0.141739,0.354651,-71.1164,222.618,561.841,64,64,64,64
21,3.45216,0.144173,0.34813,-71.1777,221.129,560.399,64,64,64,64
22,3.4553,0.139591,0.345013,-71.4994,219.5,558.956,64,64,64,64
23,3.45342,0.140098,0.3456,-71.7194,218.088,557.877,64,64,64,64
24,3.45256,0.138435,0.350705,-71.8054,216.891,556.91,64,64,64,64
25,3.45172,0.141179,0.352594,-71.8731,215.689,555.844,64,64,64,64
26,3.45192,0.139749,0.356091,-72.0372,214.377,554.794,64,64,64,64
27,3.45117,0.14106,0.353558,-72.1613,213.267,553.782,64,64,64,64
28,3.45078,0.138854,0.3551,-72.2618,212.31,552.898,64,64,64,64
29,3.45201,0.140462,0.351242,-72.2029,211.44,551.779,64,64,64,64
30,3.45284,0.140851,0.350578,-72.225,210.518,550.48,64,64,64,64
31,3.45338,0.137672,0.351125,-72.4102,209.515,548.872,64,64,104,64
32,3.45124,0.137634,0.3583,-72.3576,208.723,547.223,64,64,104,64
33,3.45112,0.142074,0.348914,-72.3396,207.928,545.244,64,64,104,64
34,3.45205,0.140329,0.350609,-72.212,207.404,544.247,64,64,104,64
35,3.44944,0.143643,0.347981,-72.119,206.941,544.807,64,64,104,64
36,3.45242,0.139605,0.354009,-72.2824,206.487,547.389,64,64,104,64
37,3.45324,0.142666,0.348468,-72.4486,206.218,552.782,64,64,104,64
38,3.45298,0.141517,0.3505,-72.9164,205.944,561.787,64,64,104,64
39,3.45251,0.14226,0.358156,-73.3754,205.957,574.584,64,64,104,64
40,3.45173,0.140585,0.352143,-74.1738,206.205,591.489,64,64,104,64
41,3.45149,0.141231,0.353178,-75.0973,206.512,612.273,64,64,104,64
42,3.45281,0.143549,0.348941,-76.0606,206.907,636.869,64,64,104,64
43,3.45165,0.147771,0.351383,-77.2267,207.462,665.34,64,64,104,64
44,3.45097,0.148454,0.355891,-78.4769,208.085,697.024,64,64,104,64
45,3.45133,0.151665,0.356578,-79.8589,208.788,731.125,64,64,104,64
46,3.4527,0.155956,0.355519,-81.2451,209.484,767.244,64,64,104,64
47,3.4541,0.154116,0.352884,-82.6976,210.423,804.825,64,64,104,64
48,3.45401,0.159014,0.353592,-84.2241,211.384,843.503,64,64,104,64
49,3.45404,0.160164,0.35761,-85.8538,212.023,882.64,64,64,104,64
50,3.45659,0.155844,0.356387,-87.6544,212.532,921.793,64,64,104,64
51,3.13841,1.49957,-0.238884,-146.486,169.801,971.544,64,64,104,64
52,3.13601,1.50273,-0.237188,-147.64,169.65,1010.54,64,64,104,64
53,3.13989,1.50723,-0.234836,-148.243,169.08,1049.69,64,64,104,64
54,3.13178,1.50537,-0.236704,-151.026,171.314,1088.93,64,64,104,64
55,3.13327,1.51072,-0.23494,-151.141,169.558,1127.52,64,64,104,64
56,3.13094,1.51343,-0.234667,-152.753,170.032,1166.43,64,64,104,64
57,3.12929,1.5156,-0.235372,-154.525,170.627,1205.34,64,64,104,64
58,3.12845,1.51282,-0.237111,-155.866,170.46,1244.09,64,64,104,64
59,3.12722,1.51281,-0.24124,-157.509,170.806,1282.86,64,64,104,64
60,0.331461,0.445205,-0.578059,-182.948,274.5,1337.4,64,64,104,64
61,0.328571,0.441925,-0.577346,-184.667,275.048,1375.38,64,64,64,44
62,0.32474,0.438477,-0.575864,-186.453,275.407,1411.71,64,64,64,44
63,0.325059,0.442148,-0.572701,-187.833,275.56,1445.14,64,64,64,44
64,0.318877,0.435118,-0.569107,-189.088,275.554,1474.79,64,64,64,44
65,0.323041,0.442916,-0.56202,-190.0,275.471,1500.77,64,64,64,44
66,0.319596,0.444708,-0.555558,-190.533,275.308,1522.57,64,64,64,44
67,0.3202,0.450468,-0.546852,-190.829,275.016,1540.89,64,64,64,44
68,0.309191,0.451043,-0.542075,-190.641,274.584,1555.42,64,64,64,44
69,0.308149,0.45593,-0.533244,-190.542,274.009,1567.82,64,64,64,44
70,0.328977,0.510225,-0.529063,-190.149,271.937,1577.71,64,64,64,44
71,0.318822,0.504701,-0.514659,-189.442,271.634,1586.11,64,64,64,24
72,0.316827,0.511679,-0.503265,-189.121,270.379,1592.53,64,64,64,24
73,0.311082,0.510258,-0.488177,-188.59,269.234,1597.42,64,64,64,24
74,0.316067,0.537813,-0.476862,-188.365,267.073,1600.82,64,64,64,24
75,-0.0286084,0.163752,-0.136888,-242.648,250.569,1561.91,64,64,64,24
76,-0.021812,0.186984,-0.142817,-240.537,248.846,1563.43,64,64,64,24
77,0.0217007,0.223773,-0.181313,-235.751,240.574,1565.15,64,64,64,24
78,0.0505129,0.250202,-0.213752,-231.448,234.209,1565.1,64,64,64,24
