Frame,RX,RY,RZ,TX,TY,TZ,potZ,potRot,potY,potX
76,-2.044,-1.0642,-0.311072,-10.7655,366.375,934.856,92,64,64,80
77,-2.04275,-1.05541,-0.315546,-10.2167,364.941,933.494,92,64,64,80
78,-2.0368,-1.05938,-0.31766,-9.51649,362.653,932.0,92,64,64,80
79,-2.03383,-1.05954,-0.315244,-8.97656,360.485,930.655,92,64,64,80
80,-2.03511,-1.06411,-0.312942,-8.16738,357.957,929.538,92,64,64,80
81,-2.04023,-1.06086,-0.312724,-7.43908,355.792,928.484,96,64,64,80
82,-2.03521,-1.05879,-0.313682,-6.57709,353.659,927.108,96,64,64,80
83,-2.03799,-1.06214,-0.311793,-5.9791,350.794,926.116,96,64,64,80
84,-2.03161,-1.06066,-0.310936,-5.07226,348.509,924.839,96,64,64,80
85,-2.04333,-1.05585,-0.313994,-4.45196,345.938,923.898,96,64,64,80
86,-2.04056,-1.0547,-0.316438,-3.63713,343.476,922.674,96,64,64,80
87,-2.04219,-1.05684,-0.310504,-2.96373,340.376,921.605,96,64,64,80
88,-2.04282,-1.05168,-0.315614,-2.12583,338.074,920.273,96,64,64,80
89,-2.03948,-1.04548,-0.320274,-1.26809,335.829,918.822,96,64,64,80
90,-2.04231,-1.05103,-0.317433,-0.43804,332.558,917.52,96,64,64,80
91,-2.03671,-1.0476,-0.320225,0.425204,330.17,915.861,100,64,64,80
92,-2.03668,-1.04402,-0.321679,1.36055,327.503,914.105,100,64,64,80
93,-2.03439,-1.04474,-0.319446,2.0046,324.55,912.376,100,64,64,80
94,-2.04454,-1.04609,-0.315608,2.4878,321.098,910.975,100,64,64,80
95,-2.03003,-1.03473,-0.325637,3.31565,319.366,908.562,100,64,64,80
96,-2.04227,-1.04338,-0.317104,4.06746,315.651,907.042,100,64,64,80
97,-2.0341,-1.03781,-0.325069,5.00251,313.673,904.75,100,64,64,80
98,-2.04022,-1.03662,-0.323157,5.43804,310.612,902.884,100,64,64,80
99,-2.03497,-1.0337,-0.320225,5.76637,307.613,900.677,100,64,64,80
100,-2.03012,-1.03758,-0.324689,6.93601,305.347,898.302,100,64,64,80
101,-2.03828,-1.03221,-0.325582,7.11556,302.559,896.332,104,64,64,80
102,-2.03294,-1.03257,-0.31984,7.58994,299.643,894.039,104,64,64,80
103,-2.03338,-1.03105,-0.32773,8.17758,297.572,891.501,104,64,64,80
104,-2.03645,-1.02744,-0.325908,8.3258,294.785,889.321,104,64,64,80
105,-2.037,-1.02729,-0.327192,8.75265,292.239,886.894,104,64,64,80
106,-2.02846,-1.02328,-0.325946,8.97435,290.142,884.374,104,64,64,80
107,-0.376203,-3.2449,-0.558767,51.5361,233.041,855.982,104,64,64,80
108,-0.355007,-3.24883,-0.575128,51.3635,230.607,853.372,104,64,64,80
109,-0.345823,-3.24264,-0.603352,51.625,228.257,851.005,104,64,64,80
110,-0.332507,-3.25048,-0.597904,51.4115,225.822,848.485,104,64,64,80
111,-0.314693,-3.2567,-0.591686,51.1017,223.445,845.924,108,64,64,80
112,-0.299895,-3.26236,-0.586777,50.8773,221.0,843.332,108,64,64,80
113,-0.296634,-3.26375,-0.586254,50.8772,218.803,840.852,108,64,64,80
114,-0.28736,-3.26503,-0.579729,50.5575,216.378,838.487,108,64,64,80
115,-0.28736,-3.26492,-0.584634,50.4542,214.365,835.786,108,64,64,80
116,-0.285176,-3.26438,-0.577261,50.3071,212.247,833.502,108,64,64,80
117,-0.283741,-3.26532,-0.576988,50.12,210.213,831.012,108,64,64,80
118,-0.276598,-3.26507,-0.577416,49.9645,208.144,828.397,108,64,64,80
119,-0.285821,-3.2595,-0.569994,49.782,206.65,826.71,108,64,64,80
120,-0.278025,-3.26355,-0.574508,49.4085,204.497,823.888,108,64,64,80
121,-0.288669,-3.25831,-0.568528,49.2605,203.122,822.198,112,64,64,80
122,-0.280711,-3.262,-0.563644,48.6913,200.908,819.903,112,64,64,80
123,-0.276422,-3.26406,-0.573077,48.4247,199.265,817.109,112,64,64,80
124,-0.28033,-3.26284,-0.57035,48.2044,197.693,815.226,112,64,64,80
125,-0.281252,-3.25541,-0.559505,47.8756,196.076,813.607,112,64,64,80
126,-0.279251,-3.26485,-0.579533,47.5297,194.468,810.485,112,64,64,80
127,-0.280845,-3.25721,-0.557447,47.3233,192.908,809.722,112,64,64,80
128,-0.282895,-3.263,-0.567039,46.9245,191.206,807.268,112,64,64,80
129,-0.280387,-3.26288,-0.569745,46.6624,189.697,805.211,112,64,64,80
130,-0.278687,-3.25842,-0.563254,46.5261,188.365,803.795,112,64,64,80
131,-0.282391,-3.26314,-0.569526,46.165,186.734,801.693,116,64,64,80
132,-0.276957,-3.25881,-0.562929,45.9124,185.112,800.065,116,64,64,80
133,-0.279186,-3.25995,-0.56745,45.8206,183.965,798.393,116,64,64,80
134,-0.291293,-3.2668,-0.57037,45.6695,182.668,796.934,116,64,64,80
135,-0.277936,-3.26073,-0.560038,45.3156,180.729,795.381,116,64,64,80
136,-0.279021,-3.2597,-0.563553,45.3266,179.45,793.629,116,64,64,80
137,-0.286634,-3.26138,-0.568746,45.4606,178.457,792.184,116,64,64,80
138,-0.280711,-3.26256,-0.5673,45.2897,176.732,790.432,116,64,64,80
139,-0.276519,-3.25973,-0.563939,45.2168,175.148,788.838,116,64,64,80
140,-0.282696,-3.26446,-0.564893,45.1959,173.913,787.505,116,64,64,80
141,-0.290204,-3.25609,-0.563062,45.5435,173.0,786.462,120,64,64,80
142,-0.27989,-3.26413,-0.571892,45.4521,171.136,784.163,120,64,64,80
143,-0.280239,-3.26434,-0.572621,45.5298,169.71,782.82,120,64,64,80
144,-0.287111,-3.25686,-0.561377,45.8054,168.651,782.447,120,64,64,80
145,-0.288438,-3.25758,-0.560796,45.8328,167.242,781.262,120,64,64,80
146,-0.276725,-3.25881,-0.563991,45.9208,165.29,779.539,120,64,64,80
147,-0.278084,-3.26247,-0.57346,46.185,164.091,778.053,120,64,64,80
148,-0.287814,-3.25907,-0.56507,46.4786,163.061,777.694,120,64,64,80
149,-0.293967,-3.2583,-0.564581,46.6898,161.809,776.781,120,64,64,80
