Frame,RX,RY,RZ,TX,TY,TZ,potZ,potRot,potY,potX
1,0.0402064,-0.00438497,1.63598,-94.1893,28.5586,638.67,64,64,64,64
2,0.0422038,-0.00404288,1.6368,-94.7398,28.2159,638.45,64,64,64,64
3,0.0441045,-0.00400568,1.6349,-95.4867,27.6047,637.885,64,64,64,64
4,0.0433562,-0.00469588,1.63293,-96.3064,26.8658,637.386,64,64,64,64
5,0.0401472,-0.00346213,1.63334,-97.1409,26.2391,636.825,64,64,64,64
6,0.0400924,-0.0029146,1.63469,-97.693,25.9312,636.468,64,64,64,64
7,0.040261,-0.00467672,1.63506,-98.2963,25.4659,635.58,64,64,64,64
8,0.0405663,-0.00203692,1.63444,-98.7573,25.041,634.495,64,64,64,64
9,0.0423859,-0.00124348,1.63363,-99.1448,24.4975,633.165,64,64,64,64
10,0.042893,-0.00356196,1.63543,-99.6995,23.9824,632.114,64,64,64,64
11,0.0424105,-0.00479741,1.63548,-100.153,23.627,632.381,64,64,74,62
12,0.0385977,-0.00436771,1.63476,-100.957,23.064,634.343,64,64,74,62
13,0.0393279,-0.00341751,1.63477,-101.721,22.7144,638.849,64,64,74,62
14,0.0383734,-0.00251417,1.63496,-102.686,22.3527,645.864,64,64,74,62
15,0.0388371,-0.00543191,1.63544,-103.664,21.9053,655.199,64,64,74,62
16,0.037817,-0.00294913,1.63561,-104.644,21.676,667.011,64,64,74,62
17,0.0394932,-0.00186754,1.63745,-105.808,21.4691,680.708,64,64,74,62
18,0.036033,0.00221649,1.63669,-107.138,21.1777,696.265,64,64,74,62
19,0.0363006,0.00148522,1.63567,-108.685,20.6381,713.755,64,64,74,62
20,0.0375988,0.00148548,1.63727,-110.007,20.5016,733.783,64,64,74,62
21,0.0396664,0.000629343,1.63803,-111.597,20.2281,755.903,64,64,84,60
22,0.0368023,0.00520334,1.64006,-113.368,19.9009,780.347,64,64,84,60
23,0.0317175,0.0135126,1.63691,-115.056,19.4853,806.989,64,64,84,60
24,0.0376165,0.00821077,1.64181,-116.912,19.3218,834.546,64,64,84,60
25,0.0479024,0.0206381,1.64055,-118.948,18.8597,864.181,64,64,84,60
26,0.0457934,0.0242874,1.64082,-121.165,18.6311,893.881,64,64,84,60
27,0.0384797,0.0343058,1.63837,-123.048,18.2091,924.716,64,64,84,60
28,0.031725,0.0442063,1.63964,-124.963,18.0131,956.383,64,64,84,60
29,0.0443417,0.0362873,1.6429,-126.802,18.1716,988.971,64,64,84,60
30,0.0416617,0.0346538,1.63947,-129.107,17.6969,1023.72,64,64,84,60
31,0.0469796,0.0328766,1.6399,-131.042,17.9891,1059.97,64,64,94,58
32,0.0505142,0.034671,1.64253,-133.199,18.1285,1097.75,64,64,94,58
33,0.0477124,0.0441482,1.6423,-135.348,18.3615,1137.03,64,64,94,58
34,0.0508122,0.0382849,1.6432,-137.627,18.6704,1177.43,64,64,94,58
35,-0.0168603,0.117756,1.63093,-139.758,18.759,1220.73,64,64,94,58
36,-1.71516,2.53522,-0.128006,-203.036,132.033,1264.91,64,64,94,58
37,-1.71287,2.52604,-0.12694,-205.36,132.461,1306.9,64,64,94,58
38,-1.70751,2.52097,-0.12626,-207.576,132.866,1349.9,64,64,94,58
39,-1.70244,2.51367,-0.126356,-209.608,133.414,1394.43,64,64,94,58
40,-1.70464,2.50558,-0.122995,-212.2,133.455,1440.36,64,64,94,58
41,-1.70146,2.50194,-0.122563,-213.891,135.153,1488.39,64,64,104,56
42,-1.69864,2.4971,-0.119391,-216.321,135.272,1537.59,64,64,104,56
43,-1.69746,2.49434,-0.118322,-218.621,135.692,1588.03,64,64,104,56
44,-1.68753,2.48673,-0.130645,-220.91,135.867,1639.57,64,64,104,56
